sigma_0.2_time,sigma_0.2_strain,sigma_0.4_time,sigma_0.4_strain,sigma_0.6_time,sigma_0.6_strain,sigma_1.0_time,sigma_1.0_strain,sigma_3.0_time,sigma_3.0_strain
0.000000,1.071308,0.000000,1.152659,0.000000,1.245074,0.000000,1.465571,0.000000,3.103803
0.010000,1.072070,0.010000,1.154396,0.010000,1.248027,0.010000,1.471706,0.010000,3.132047
0.020000,1.072833,0.020000,1.156138,0.020000,1.250992,0.020000,1.477879,0.020000,3.160540
0.030000,1.073597,0.030000,1.157885,0.030000,1.253969,0.030000,1.484092,0.030000,3.189287
0.040000,1.074362,0.040000,1.159636,0.040000,1.256959,0.040000,1.490344,0.040000,3.218289
0.050000,1.075128,0.050000,1.161393,0.050000,1.259961,0.050000,1.496637,0.050000,3.247551
0.060000,1.075895,0.060000,1.163154,0.060000,1.262975,0.060000,1.502971,0.060000,3.277076
0.070000,1.076663,0.070000,1.164920,0.070000,1.266002,0.070000,1.509345,0.070000,3.306867
0.080000,1.077433,0.080000,1.166692,0.080000,1.269042,0.080000,1.515760,0.080000,3.336926
0.090000,1.078203,0.090000,1.168468,0.090000,1.272095,0.090000,1.522218,0.090000,3.367257
0.100000,1.078975,0.100000,1.170249,0.100000,1.275160,0.100000,1.528717,0.100000,3.397864
0.110000,1.079747,0.110000,1.172036,0.110000,1.278239,0.110000,1.535259,0.110000,3.428749
0.120000,1.080521,0.120000,1.173827,0.120000,1.281330,0.120000,1.541844,0.120000,3.459915
0.130000,1.081295,0.130000,1.175623,0.130000,1.284434,0.130000,1.548472,0.130000,3.491367
0.140000,1.082071,0.140000,1.177425,0.140000,1.287552,0.140000,1.555144,0.140000,3.523108
0.150000,1.082848,0.150000,1.179231,0.150000,1.290683,0.150000,1.561860,0.150000,3.555140
0.160000,1.083626,0.160000,1.181043,0.160000,1.293827,0.160000,1.568621,0.160000,3.587467
0.170000,1.084405,0.170000,1.182860,0.170000,1.296985,0.170000,1.575427,0.170000,3.620093
0.180000,1.085185,0.180000,1.184682,0.180000,1.300157,0.180000,1.582278,0.180000,3.653021
0.190000,1.085966,0.190000,1.186509,0.190000,1.303342,0.190000,1.589175,0.190000,3.686254
