,Domain_1,Domain_2,Domain_3,Domain_4,Domain_5,Domain_6,Domain_7,Domain_8,Domain_9,Domain_10
Chain_1,1.485917489366284e+01,9.749579225305544e+00,1.093187623329743e+01,1.474204529843000e+01,1.071385285535517e+01,1.297901026486736e+01,1.201996561329845e+01,1.221554732969480e+01,1.069762876859655e+01,1.208191648287047e+01
Chain_2,8.767007160923141e+00,8.731288086913501e+00,1.165740494462578e+01,1.268328770479224e+01,1.314594175664944e+01,8.946949074040987e+00,1.365605902627302e+01,8.282955941819246e+00,1.433103883832949e+01,1.222986589066314e+01
Chain_3,1.032530777554486e+01,1.344207935026072e+01,1.094396680057782e+01,8.758569948147603e+00,1.108896419433594e+01,1.309980728739676e+01,1.297266719256358e+01,1.290433782408824e+01,1.102693460415080e+01,1.254903220709205e+01
Chain_4,1.026361185620631e+01,1.021012445205114e+01,1.020006030328136e+01,1.048919997761472e+01,1.053055455960823e+01,1.235457035070221e+01,1.203983784830897e+01,1.154766485546401e+01,1.254655113771717e+01,1.163440109795578e+01
Chain_5,1.129981028591528e+01,1.303902593212436e+01,1.196183368642855e+01,1.429960058004471e+01,1.131899404532205e+01,1.371269462684225e+01,1.388675158512282e+01,8.801054347815640e+00,9.663596826658715e+00,1.201494546200457e+01
Chain_6,9.559930511390533e+00,1.028068588206703e+01,1.047337693309119e+01,1.008204040366444e+01,1.358505705142429e+01,1.022315451992827e+01,9.857960223823815e+00,1.095977205813419e+01,9.734782628104535e+00,1.361169660860400e+01
Chain_7,1.437833145540899e+01,1.194102333389714e+01,1.299789069529426e+01,1.030485326729712e+01,1.607452661146786e+01,1.134323573315130e+01,1.140952636444360e+01,9.521918443137302e+00,9.822908256563396e+00,1.367738651323044e+01
Chain_8,1.259848143842255e+01,1.006595574665329e+01,1.298306440478909e+01,1.216943547077451e+01,8.847294813993770e+00,1.402626119341589e+01,9.580103145305305e+00,1.412969103678872e+01,1.101798802712827e+01,1.180344051066163e+01
Chain_9,1.044175225603978e+01,1.495864600321541e+01,1.185222834342611e+01,1.426145270910426e+01,9.920155226960167e+00,1.434060461896288e+01,9.542808460880327e+00,1.323864431568432e+01,1.061649014905693e+01,1.120077583009475e+01
Chain_10,1.451614289281162e+01,1.308051707859350e+01,1.148632431550913e+01,1.130358002570046e+01,1.150856511987290e+01,1.382341731377185e+01,1.384382085610926e+01,9.806285394643684e+00,1.291525985723021e+01,1.408468372298799e+01
Chain_11,1.104443687249699e+01,1.251525256711396e+01,1.007922543923695e+01,1.165261530780303e+01,1.327068661569576e+01,1.517953509067074e+01,1.083882529334852e+01,1.392734506888781e+01,1.251202910395658e+01,8.683987039459305e+00
Chain_12,1.121674905906078e+01,1.251343410657758e+01,1.455426979143413e+01,1.109591656382677e+01,9.636781201399229e+00,1.371133325466781e+01,1.096024555405815e+01,1.230050781936310e+01,1.248059141433711e+01,1.383790640799466e+01
Chain_13,1.350692208038617e+01,1.451510881440430e+01,1.098991529720478e+01,1.228060191822014e+01,1.302125786022980e+01,1.197138242589331e+01,9.379311944746210e+00,1.209241382946356e+01,1.074899428650081e+01,1.332310521620774e+01
Chain_14,1.144259253870798e+01,9.960383844028698e+00,9.738939353706746e+00,1.158621112693738e+01,1.422566288531575e+01,1.412125291993496e+01,1.346063749690294e+01,8.347378693663945e+00,1.187126030089245e+01,1.054389509650778e+01
Chain_15,1.359242882170072e+01,1.153988872444810e+01,1.176178794991925e+01,1.326321780526984e+01,1.066997712340674e+01,1.143050161524771e+01,1.161829430398919e+01,9.775877408784801e+00,1.465894625056477e+01,1.197961057365223e+01
Chain_16,1.304167711425437e+01,1.042419570091861e+01,1.240527106688272e+01,1.379655220160414e+01,1.165977483784079e+01,1.156640349574159e+01,1.157875696329920e+01,1.109261146750465e+01,1.047940737250189e+01,1.132815299207950e+01
Chain_17,1.080824246596600e+01,1.310394532962821e+01,1.136511817757502e+01,1.390034664705576e+01,8.064740501001888e+00,1.026201079334699e+01,1.320883597551926e+01,1.198876409496014e+01,8.975714952883564e+00,1.235701146792151e+01
Chain_18,1.213847829549643e+01,1.307567369106770e+01,1.372188456573497e+01,1.499951880484621e+01,1.400690119796535e+01,1.220870613814034e+01,1.003391123870955e+01,1.171387131850496e+01,1.206009631318912e+01,8.342473632245257e+00
Chain_19,1.153532371694778e+01,1.426595334710645e+01,1.167165230368734e+01,7.542741154797790e+00,1.189932877152906e+01,1.345575947349080e+01,1.024241905834605e+01,1.172968981481662e+01,1.184033150869444e+01,1.240059910152201e+01
Chain_20,1.174571360162735e+01,1.445291386328190e+01,8.859503360903657e+00,9.762751110984864e+00,1.511286762799133e+01,1.098007896776225e+01,8.855219826260974e+00,1.045600793569120e+01,1.256821910502392e+01,9.799500819424669e+00
Chain_21,1.116049470198449e+01,1.196750621825160e+01,1.091602766007457e+01,1.529015573611036e+01,9.153876294494340e+00,1.047489706733871e+01,1.232525723720310e+01,1.216095829242020e+01,8.573077842271639e+00,1.303496559286472e+01
Chain_22,1.097646427463124e+01,1.402405499863364e+01,1.079317095388997e+01,1.423243664967541e+01,1.125450671712509e+01,1.442216832372029e+01,1.328254943155616e+01,1.076064023622926e+01,1.168269889895650e+01,9.884387205079825e+00
Chain_23,1.450191524320852e+01,1.350994113792462e+01,1.373020382197130e+01,1.192465067657593e+01,1.287854876405090e+01,1.132790428918562e+01,1.205532908518357e+01,1.064470254273777e+01,1.134419570640085e+01,1.062099059923290e+01
Chain_24,1.189754322593778e+01,1.022405616419937e+01,1.308746028086554e+01,8.682666620773571e+00,1.307868504491618e+01,1.410918981015680e+01,1.143657625789112e+01,1.257941444638520e+01,9.161475515027391e+00,1.279518983858439e+01
Chain_25,1.132462226993175e+01,1.240427911615769e+01,1.168626930492345e+01,1.330049559026126e+01,1.111125837729502e+01,7.551365533952340e+00,1.417293911413859e+01,1.229269175472802e+01,1.201513483402212e+01,9.274565638962365e+00
Chain_26,1.287965015455971e+01,1.334376788828418e+01,1.159812975362496e+01,1.080137023353846e+01,1.334884220141203e+01,1.214572925941924e+01,1.096738322842978e+01,1.400353130430940e+01,1.490055357265446e+01,1.132110586746817e+01
Chain_27,1.218258281418411e+01,1.399698565917879e+01,1.190842347532611e+01,1.133523668171802e+01,9.977334990475374e+00,9.277120159715945e+00,1.083990448728472e+01,1.131682397865005e+01,1.351385096278070e+01,1.431970429411677e+01
Chain_28,9.056244017810126e+00,1.217648989693895e+01,1.151806577431389e+01,9.925455471481509e+00,1.298222382772825e+01,1.089973728896092e+01,1.247365754305435e+01,1.261022547350761e+01,1.155101670094755e+01,1.426596553585861e+01
Chain_29,1.450209237226413e+01,1.232899197585710e+01,1.603096831929634e+01,1.069655226817489e+01,1.310635162582827e+01,1.154660714377271e+01,1.431882199838389e+01,1.303732249220787e+01,1.040915506324555e+01,1.247938249096669e+01
Chain_30,1.255696742823407e+01,9.940197023383160e+00,1.260517738639914e+01,1.099826574541752e+01,1.146580517266903e+01,1.346510222255404e+01,1.062734478161082e+01,1.161488671821797e+01,1.334371048233761e+01,1.397107624880184e+01
Chain_31,1.168309616429832e+01,1.263507827822005e+01,1.583726303213831e+01,1.034744177395056e+01,1.189841578125319e+01,8.942301508767230e+00,1.335385678421791e+01,1.113468633445964e+01,1.114193299316045e+01,1.414072108754631e+01
Chain_32,1.153961428543020e+01,1.133814168423363e+01,1.218798693950158e+01,1.256246245400717e+01,1.286573127692281e+01,1.301484840363804e+01,1.240858881598577e+01,1.064580071221792e+01,1.161049268516769e+01,1.422237024766308e+01
Chain_33,1.252429628007484e+01,1.178866568349351e+01,9.552003754528883e+00,1.114457243321574e+01,1.182240568921063e+01,1.072856334878711e+01,1.281856169558345e+01,1.374021508942212e+01,9.971265963738395e+00,1.352752657102840e+01
Chain_34,1.323586596028457e+01,1.355345964713727e+01,1.386058855830893e+01,1.195993045180180e+01,1.311878297046197e+01,1.410261163259663e+01,9.072842918724980e+00,1.534040465141788e+01,1.054543087112588e+01,1.041895567899597e+01
Chain_35,1.656077554753116e+01,1.076039690792268e+01,1.184833120878535e+01,1.426102168338888e+01,1.335395626757164e+01,1.289972939937677e+01,1.539577728975040e+01,1.418470071750757e+01,1.283475250989432e+01,9.897949767943087e+00
Chain_36,9.615231709411660e+00,1.054458427487297e+01,1.019077339072107e+01,1.009119262768098e+01,1.090897905265406e+01,1.259647845024995e+01,1.341299117451812e+01,1.028978098361336e+01,1.083320263585698e+01,1.332941871222671e+01
Chain_37,1.253216856898049e+01,1.021181264169740e+01,1.244141141279004e+01,1.327891791988331e+01,1.443234392879014e+01,1.075350300111561e+01,1.263636555431262e+01,1.396265144233674e+01,8.684482853084889e+00,1.054418005788827e+01
Chain_38,1.386727055700174e+01,9.954303211263085e+00,1.085492452716514e+01,1.293565497998551e+01,1.020920964073459e+01,1.260334114103824e+01,1.070372844836266e+01,1.072094715240493e+01,1.267134430480409e+01,1.531428420042688e+01
Chain_39,1.012682350642446e+01,1.166167829029700e+01,8.835175427037155e+00,1.222927582193064e+01,1.309300873985810e+01,1.223896576287954e+01,9.471739721267550e+00,9.357613092580568e+00,1.295298613769026e+01,1.043488551705795e+01
Chain_40,1.313405858749335e+01,9.692337692143434e+00,9.649644816851623e+00,1.155668388528002e+01,1.045382125109327e+01,1.214495925809127e+01,1.244256298724859e+01,1.396827431931300e+01,1.090978330807956e+01,1.032779203671054e+01
Chain_41,1.024852865973531e+01,1.496666442266927e+01,1.088540841598513e+01,1.051614741460805e+01,8.675108297441636e+00,1.013150871107951e+01,1.212162421498503e+01,1.155808531395256e+01,1.259893951728364e+01,1.102522687018319e+01
Chain_42,1.243005000791129e+01,1.422147284235562e+01,1.092205315370610e+01,1.262271277451110e+01,1.054856486976055e+01,1.256435735031327e+01,1.183795588069771e+01,1.254201458448484e+01,1.473805838994508e+01,1.127240864268764e+01
Chain_43,1.005954486160783e+01,9.565137857181519e+00,1.092131106096923e+01,1.057832959294431e+01,1.199913410444968e+01,1.352175334882485e+01,1.228480925148592e+01,1.056651538188561e+01,1.281234688575120e+01,9.639072401276264e+00
Chain_44,1.539614447399922e+01,1.232245573577697e+01,1.203429749591877e+01,1.035863721358097e+01,1.202313321840088e+01,9.820799554125598e+00,1.284896403482767e+01,1.325710204663015e+01,1.031874773106859e+01,1.585863186464916e+01
Chain_45,1.157400810170750e+01,1.500430714811850e+01,1.403467158531514e+01,1.190893979848125e+01,1.177745605348021e+01,1.263904211990116e+01,1.343236664938277e+01,7.468108049572037e+00,1.518042534066179e+01,1.586621731798990e+01
Chain_46,1.175655951077882e+01,1.113804101522789e+01,1.179403570235834e+01,8.836600607616024e+00,1.329039764923315e+01,1.364804029701923e+01,1.061178688987219e+01,1.436153182077901e+01,1.135251344443058e+01,1.174357221397907e+01
Chain_47,1.464969038216889e+01,1.501072275421262e+01,1.096581680075903e+01,1.327264837550506e+01,1.142873706966706e+01,9.803036286988171e+00,1.142535480226786e+01,1.195873123889343e+01,7.848957272335123e+00,1.208979955036451e+01
Chain_48,1.090016460572601e+01,1.387293320130492e+01,1.117310478043708e+01,1.298639478289915e+01,1.186480207592361e+01,1.397792530649289e+01,1.197357505942928e+01,1.015081715206569e+01,1.249120217364889e+01,9.244331757299408e+00
Chain_49,1.269063958048471e+01,1.031763027529975e+01,1.420522761171973e+01,1.335915554214425e+01,1.050286844035704e+01,9.130708868302628e+00,1.423588484942720e+01,1.318203726723451e+01,1.243199068944261e+01,1.016640248592251e+01
Chain_50,1.207946288803162e+01,1.192277801561632e+01,1.059537615374889e+01,1.083381912950211e+01,1.643715489948275e+01,1.147007494308359e+01,1.101822073505285e+01,9.524956648100218e+00,8.870899063398655e+00,1.156447170736272e+01
Chain_51,9.174762328380046e+00,1.021609949586805e+01,1.271740539311767e+01,1.110294577268654e+01,9.234628831552964e+00,1.390308509300822e+01,1.017353574655435e+01,1.313429671082157e+01,1.259499059184206e+01,1.022927487043406e+01
Chain_52,1.278783421416113e+01,1.328781466289750e+01,1.450442599235319e+01,1.552274034737138e+01,1.096408089061395e+01,1.322392174899096e+01,8.852010056831844e+00,1.293992276314316e+01,1.313150858142536e+01,1.191928531701577e+01
Chain_53,1.010363026533452e+01,1.088092378488342e+01,1.311599632030800e+01,1.072176219416522e+01,1.192759594029973e+01,1.140563498889639e+01,1.066299831046626e+01,1.255332794155708e+01,1.030874620446922e+01,1.087056169439196e+01
Chain_54,1.073240495380498e+01,1.443797462683506e+01,1.144490936497692e+01,9.785710197270724e+00,1.180286024971274e+01,1.403228752459658e+01,1.101532580692461e+01,1.001509177726863e+01,9.079409091633760e+00,1.465587771651522e+01
