,Domain_1,Domain_2,Domain_3,Domain_4,Domain_5,Domain_6,Domain_7,Domain_8,Domain_9,Domain_10
0.000000000000000e+00,-1.539614447399922e+01,-1.232245573577697e+01,-1.203429749591877e+01,-1.035863721358097e+01,-1.202313321840088e+01,-9.820799554125598e+00,-1.284896403482767e+01,-1.325710204663015e+01,-1.031874773106859e+01,-1.585863186464916e+01
1.010101010101010e-01,-1.540810899473589e+01,-1.233442025651364e+01,-1.204626201665544e+01,-1.037060173431764e+01,-1.203509773913755e+01,-9.832764074862263e+00,-1.286092855556434e+01,-1.326906656736681e+01,-1.033071225180526e+01,-1.587059638538583e+01
2.020202020202020e-01,-1.544285738336422e+01,-1.236916864514197e+01,-1.208101040528377e+01,-1.040535012294597e+01,-1.206984612776588e+01,-9.867512463490593e+00,-1.289567694419267e+01,-1.330381495599514e+01,-1.036546064043359e+01,-1.590534477401416e+01
3.030303030303030e-01,-1.549862855726386e+01,-1.242493981904161e+01,-1.213678157918341e+01,-1.046112129684561e+01,-1.212561730166552e+01,-9.923283637390234e+00,-1.295144811809231e+01,-1.335958612989478e+01,-1.042123181433323e+01,-1.596111594791380e+01
4.040404040404040e-01,-1.557364363917689e+01,-1.249995490095464e+01,-1.221179666109645e+01,-1.053613637875864e+01,-1.220063238357855e+01,-9.998298719303268e+00,-1.302646320000535e+01,-1.343460121180782e+01,-1.049624689624626e+01,-1.603613102982683e+01
5.050505050505051e-01,-1.566615539340668e+01,-1.259246665518444e+01,-1.230430841532624e+01,-1.062864813298844e+01,-1.229314413780835e+01,-1.009081047353306e+01,-1.311897495423514e+01,-1.352711296603761e+01,-1.058875865047606e+01,-1.612864278405663e+01
6.060606060606061e-01,-1.577449158856234e+01,-1.270080285034010e+01,-1.241264461048190e+01,-1.073698432814410e+01,-1.240148033296401e+01,-1.019914666868872e+01,-1.322731114939080e+01,-1.363544916119327e+01,-1.069709484563172e+01,-1.623697897921229e+01
7.070707070707071e-01,-1.589708782465920e+01,-1.282339908643696e+01,-1.253524084657876e+01,-1.085958056424096e+01,-1.252407656906087e+01,-1.032174290478558e+01,-1.334990738548766e+01,-1.375804539729013e+01,-1.081969108172858e+01,-1.635957521530915e+01
8.080808080808081e-01,-1.603250814009510e+01,-1.295881940187285e+01,-1.267066116201465e+01,-1.099500087967685e+01,-1.265949688449676e+01,-1.045716322022148e+01,-1.348532770092355e+01,-1.389346571272603e+01,-1.095511139716447e+01,-1.649499553074504e+01
9.090909090909091e-01,-1.617945418002529e+01,-1.310576544180305e+01,-1.281760720194485e+01,-1.114194691960705e+01,-1.280644292442696e+01,-1.060410926015167e+01,-1.363227374085375e+01,-1.404041175265622e+01,-1.110205743709466e+01,-1.664194157067524e+01
