,Domain_1,Domain_2,Domain_3,Domain_4,Domain_5,Domain_6,Domain_7,Domain_8,Domain_9,Domain_10
Chain_1,1.044744031246029e+01,1.081246611524907e+01,1.389852090044433e+01,1.513789651836906e+01,1.349681563222823e+01,1.261480752718527e+01,1.428857218448232e+01,1.391740381646076e+01,1.260412220703410e+01,1.064081029893877e+01
Chain_2,1.060048752585274e+01,8.484930982421160e+00,1.370916184780267e+01,1.007175685432702e+01,1.262446456063285e+01,1.170303327052909e+01,1.248790760204716e+01,1.364071621625928e+01,1.061093980619443e+01,1.133460943896915e+01
Chain_3,1.265143213229472e+01,1.304910100039517e+01,1.331303907548502e+01,9.658404822378380e+00,1.090211653617861e+01,1.187405931606917e+01,1.523776223847743e+01,1.401754520353704e+01,1.621125042272714e+01,1.426114629863900e+01
Chain_4,9.721511805763027e+00,1.033162614296392e+01,1.290819107725748e+01,1.037268148454077e+01,1.211278618704364e+01,1.156772629554128e+01,1.131949854122380e+01,1.302953047739895e+01,1.117713316729768e+01,1.389608326587871e+01
Chain_5,1.207316676541850e+01,1.443654746973320e+01,1.486147071118396e+01,1.262926399647469e+01,1.343657197163386e+01,1.168386410390179e+01,9.483609270510440e+00,1.003420865450686e+01,1.255473720743469e+01,1.384418472904997e+01
Chain_6,1.267506199104678e+01,1.184418921773471e+01,1.083441962687606e+01,1.142115554794922e+01,1.257698281900118e+01,1.462559158255335e+01,1.531982288905130e+01,1.197974584119983e+01,1.319409588420909e+01,1.244027239522170e+01
Chain_7,1.354007791833294e+01,1.598176899326571e+01,1.177460356636845e+01,1.383162469137756e+01,8.450557394438833e+00,1.469502247358401e+01,1.081022445980081e+01,8.871508478880706e+00,1.214453624487524e+01,1.165538988550479e+01
Chain_8,1.088117797522240e+01,1.208339241945561e+01,1.236247169585599e+01,1.401170969022153e+01,9.204747915847436e+00,1.279775886182440e+01,1.164457529244557e+01,1.322966436216119e+01,1.106639924185592e+01,1.066656606795686e+01
Chain_9,1.125531801343402e+01,1.294047480795513e+01,1.278818815208727e+01,9.135860848104631e+00,1.096799160262395e+01,1.176826466274145e+01,1.374834712926442e+01,1.246414062065971e+01,9.717814670789165e+00,1.237876929355987e+01
Chain_10,1.118161087644353e+01,1.169073152114490e+01,1.437487725907004e+01,1.268979756616329e+01,1.653452024633198e+01,1.089719211559593e+01,8.525704948192951e+00,1.182923002927152e+01,1.355954224730740e+01,1.383752407131147e+01
Chain_11,7.376937074783288e+00,9.380248732819858e+00,1.230605627747193e+01,1.096026591377417e+01,1.310158438623817e+01,1.111773518020446e+01,1.425110783216422e+01,1.077112660015787e+01,1.178923904378894e+01,1.034570545240230e+01
Chain_12,9.111702233092814e+00,1.401875989155975e+01,1.292852265165635e+01,1.120671485621272e+01,1.234481686018067e+01,1.324541208630918e+01,1.187369393194909e+01,1.225232592249693e+01,1.250795387889898e+01,1.458139110000503e+01
Chain_13,1.540364015314074e+01,1.191994165216597e+01,9.149488238349964e+00,1.359663706512628e+01,1.079733239151524e+01,1.005809826659623e+01,1.386994742629195e+01,1.331680828172734e+01,1.231658820144899e+01,1.319957384370744e+01
Chain_14,1.233061105010877e+01,1.242087442713983e+01,1.102157141697607e+01,1.091865155134159e+01,7.948213447443516e+00,8.228595433371199e+00,1.105615395009525e+01,1.445125091180360e+01,1.188365296680684e+01,1.022317068129904e+01
Chain_15,1.254427982604576e+01,1.209168503580119e+01,1.101975239569945e+01,1.356190298401093e+01,1.294083285762680e+01,1.338961323846663e+01,1.173547719884530e+01,1.520741306541424e+01,1.176661632477531e+01,9.102834796079044e+00
Chain_16,1.096725653729285e+01,1.027294487843900e+01,1.080657216454496e+01,1.291726102133704e+01,1.084337625456596e+01,1.110676200024681e+01,9.998253875592575e+00,1.329446604007885e+01,1.084076045069143e+01,9.149401144251865e+00
