,Domain_1,Domain_2,Domain_3,Domain_4,Domain_5,Domain_6,Domain_7,Domain_8,Domain_9,Domain_10
0.000000000000000e+00,-1.417725088192040e+01,-1.112182761392802e+01,-1.035550529818190e+01,-1.209574537038016e+01,-1.092398100132163e+01,-1.184729606758452e+01,-1.364946612306203e+01,-1.286695183163371e+01,-1.257880581465771e+01,-1.003588717948169e+01
2.004008016032064e-02,-1.417773065443964e+01,-1.112230738644726e+01,-1.035598507070113e+01,-1.209622514289940e+01,-1.092446077384087e+01,-1.184777584010376e+01,-1.364994589558126e+01,-1.286743160415294e+01,-1.257928558717694e+01,-1.003636695200092e+01
4.008016032064128e-02,-1.417916130398348e+01,-1.112373803599110e+01,-1.035741572024498e+01,-1.209765579244324e+01,-1.092589142338471e+01,-1.184920648964760e+01,-1.365137654512511e+01,-1.286886225369679e+01,-1.258071623672079e+01,-1.003779760154477e+01
6.012024048096192e-02,-1.418152971030989e+01,-1.112610644231751e+01,-1.035978412657138e+01,-1.210002419876965e+01,-1.092825982971112e+01,-1.185157489597401e+01,-1.365374495145151e+01,-1.287123066002319e+01,-1.258308464304719e+01,-1.004016600787117e+01
8.016032064128256e-02,-1.418482260570576e+01,-1.112939933771338e+01,-1.036307702196726e+01,-1.210331709416552e+01,-1.093155272510699e+01,-1.185486779136988e+01,-1.365703784684739e+01,-1.287452355541907e+01,-1.258637753844307e+01,-1.004345890326705e+01
1.002004008016032e-01,-1.418902658822985e+01,-1.113360332023747e+01,-1.036728100449134e+01,-1.210752107668961e+01,-1.093575670763108e+01,-1.185907177389396e+01,-1.366124182937147e+01,-1.287872753794315e+01,-1.259058152096715e+01,-1.004766288579113e+01
1.202404809619238e-01,-1.419412813555684e+01,-1.113870486756446e+01,-1.037238255181833e+01,-1.211262262401660e+01,-1.094085825495807e+01,-1.186417332122096e+01,-1.366634337669846e+01,-1.288382908527014e+01,-1.259568306829414e+01,-1.005276443311812e+01
1.402805611222445e-01,-1.420011361935367e+01,-1.114469035136129e+01,-1.037836803561516e+01,-1.211860810781343e+01,-1.094684373875489e+01,-1.187015880501778e+01,-1.367232886049529e+01,-1.288981456906697e+01,-1.260166855209097e+01,-1.005874991691495e+01
1.603206412825651e-01,-1.420696932011280e+01,-1.115154605212042e+01,-1.038522373637430e+01,-1.212546380857256e+01,-1.095369943951403e+01,-1.187701450577692e+01,-1.367918456125443e+01,-1.289667026982611e+01,-1.260852425285011e+01,-1.006560561767409e+01
1.803607214428858e-01,-1.421468144236237e+01,-1.115925817436999e+01,-1.039293585862387e+01,-1.213317593082213e+01,-1.096141156176360e+01,-1.188472662802649e+01,-1.368689668350400e+01,-1.290438239207568e+01,-1.261623637509968e+01,-1.007331773992366e+01
2.004008016032064e-01,-1.422323613016874e+01,-1.116781286217635e+01,-1.040149054643023e+01,-1.214173061862850e+01,-1.096996624956996e+01,-1.189328131583285e+01,-1.369545137131036e+01,-1.291293707988204e+01,-1.262479106290604e+01,-1.008187242773002e+01
2.204408817635271e-01,-1.423261948284418e+01,-1.117719621485180e+01,-1.041087389910567e+01,-1.215111397130394e+01,-1.097934960224541e+01,-1.190266466850830e+01,-1.370483472398580e+01,-1.292232043255749e+01,-1.263417441558149e+01,-1.009125578040547e+01
2.404809619238477e-01,-1.424281757077054e+01,-1.118739430277816e+01,-1.042107198703204e+01,-1.216131205923030e+01,-1.098954769017177e+01,-1.191286275643466e+01,-1.371503281191217e+01,-1.293251852048385e+01,-1.264437250350785e+01,-1.010145386833183e+01
2.605210420841683e-01,-1.425381645124873e+01,-1.119839318325635e+01,-1.043207086751023e+01,-1.217231093970849e+01,-1.100054657064996e+01,-1.192386163691285e+01,-1.372603169239036e+01,-1.294351740096204e+01,-1.265537138398604e+01,-1.011245274881002e+01
2.805611222444890e-01,-1.426560218428484e+01,-1.121017891629246e+01,-1.044385660054634e+01,-1.218409667274460e+01,-1.101233230368607e+01,-1.193564736994896e+01,-1.373781742542647e+01,-1.295530313399815e+01,-1.266715711702215e+01,-1.012423848184613e+01
3.006012024048096e-01,-1.427816084822498e+01,-1.122273758023260e+01,-1.045641526448647e+01,-1.219665533668474e+01,-1.102489096762621e+01,-1.194820603388910e+01,-1.375037608936660e+01,-1.296786179793828e+01,-1.267971578096228e+01,-1.013679714578626e+01
3.206412825651302e-01,-1.429147855515381e+01,-1.123605528716143e+01,-1.046973297141531e+01,-1.220997304361357e+01,-1.103820867455504e+01,-1.196152374081793e+01,-1.376369379629544e+01,-1.298117950486712e+01,-1.269303348789112e+01,-1.015011485271510e+01
3.406813627254509e-01,-1.430554146597566e+01,-1.125011819798328e+01,-1.048379588223715e+01,-1.222403595443542e+01,-1.105227158537689e+01,-1.197558665163978e+01,-1.377775670711728e+01,-1.299524241568897e+01,-1.270709639871297e+01,-1.016417776353695e+01
3.607214428857715e-01,-1.432033580510158e+01,-1.126491253710920e+01,-1.049859022136307e+01,-1.223883029356134e+01,-1.106706592450280e+01,-1.199038099076569e+01,-1.379255104624320e+01,-1.301003675481488e+01,-1.272189073783888e+01,-1.017897210266286e+01
3.807615230460922e-01,-1.433584787467158e+01,-1.128042460667920e+01,-1.051410229093308e+01,-1.225434236313134e+01,-1.108257799407281e+01,-1.200589306033570e+01,-1.380806311581321e+01,-1.302554882438489e+01,-1.273740280740889e+01,-1.019448417223287e+01
