,Domain_1
Chain_1,1.245292939311567e+01
Chain_2,1.288696804130998e+01
Chain_3,1.209551969159612e+01
Chain_4,1.277276453411709e+01
Chain_5,1.273986727063377e+01
Chain_6,1.073006128113431e+01
Chain_7,1.245636560329004e+01
Chain_8,1.019861093441953e+01
Chain_9,1.473158031153909e+01
Chain_10,1.142470044569611e+01
Chain_11,1.263468651218152e+01
Chain_12,1.063713590775931e+01
Chain_13,9.813173721884866e+00
Chain_14,1.003966961173698e+01
Chain_15,1.437991195322246e+01
Chain_16,1.260761159655328e+01
Chain_17,1.104053183015684e+01
Chain_18,9.051082570872442e+00
Chain_19,1.025721214623719e+01
Chain_20,1.031896808942358e+01
Chain_21,9.638891089023014e+00
Chain_22,1.235878512157464e+01
Chain_23,1.492990906408895e+01
Chain_24,1.181212048561256e+01
Chain_25,9.574472233364478e+00
Chain_26,1.500669157778814e+01
Chain_27,1.038177206895255e+01
Chain_28,1.422615101422895e+01
Chain_29,1.270248258035908e+01
Chain_30,1.139354544991288e+01
Chain_31,1.493299447654442e+01
Chain_32,1.559602641055998e+01
Chain_33,1.228701349323085e+01
Chain_34,1.078631492283771e+01
Chain_35,1.008204733632627e+01
Chain_36,1.384467651129084e+01
Chain_37,1.098223150628506e+01
Chain_38,9.099296534546598e+00
Chain_39,1.374707691773269e+01
Chain_40,1.236646170396610e+01
Chain_41,1.262221606759076e+01
Chain_42,1.153868530838689e+01
Chain_43,1.307764815752316e+01
Chain_44,1.341333872331754e+01
Chain_45,1.054090800457234e+01
Chain_46,1.216227284127064e+01
Chain_47,8.935714171254670e+00
Chain_48,1.405562089888473e+01
Chain_49,9.579948055339422e+00
Chain_50,1.157244813833288e+01
Chain_51,1.007379719393334e+01
Chain_52,8.308612170960517e+00
Chain_53,1.269275078685496e+01
Chain_54,1.383335058051991e+01
Chain_55,1.133206647271460e+01
Chain_56,9.290428139495944e+00
Chain_57,1.186336548769119e+01
Chain_58,1.258650797750811e+01
Chain_59,1.024613389708349e+01
Chain_60,1.117106865494626e+01
Chain_61,1.365774308581800e+01
Chain_62,1.166151635246873e+01
Chain_63,1.241116069962141e+01
Chain_64,1.267277664679609e+01
Chain_65,1.252220092949973e+01
Chain_66,1.252827569349248e+01
Chain_67,1.560855341307805e+01
Chain_68,1.445599212947418e+01
Chain_69,1.087520127443976e+01
Chain_70,1.112966035812614e+01
Chain_71,1.163432034165206e+01
Chain_72,1.411833393615994e+01
Chain_73,1.149479627360382e+01
Chain_74,1.254236455107709e+01
Chain_75,1.025354064041919e+01
Chain_76,1.037956929126364e+01
Chain_77,8.798957952395302e+00
Chain_78,1.298520144837572e+01
Chain_79,1.491048009079555e+01
Chain_80,1.246205333881824e+01
Chain_81,1.168252471275365e+01
Chain_82,1.316460164956629e+01
Chain_83,1.402304462597273e+01
Chain_84,9.380861994068296e+00
Chain_85,9.278560151316301e+00
Chain_86,1.292008794729218e+01
Chain_87,1.143309316463561e+01
Chain_88,1.178339797046922e+01
Chain_89,1.288753805479763e+01
Chain_90,1.061163956502546e+01
Chain_91,1.624216323980932e+01
Chain_92,1.181476062882752e+01
Chain_93,1.057772270054126e+01
Chain_94,1.495406199113744e+01
Chain_95,1.156275856106730e+01
Chain_96,1.230827496120338e+01
Chain_97,7.984494632604398e+00
Chain_98,1.485707786471475e+01
Chain_99,1.033755280551229e+01
Chain_100,1.147825552457936e+01
