,Domain_1
0.000000000000000e+00,-1.437991195322246e+01
1.010101010101010e-01,-1.439187647395913e+01
2.020202020202020e-01,-1.442662486258746e+01
3.030303030303030e-01,-1.448239603648710e+01
4.040404040404040e-01,-1.455741111840013e+01
5.050505050505051e-01,-1.464992287262993e+01
6.060606060606061e-01,-1.475825906778559e+01
7.070707070707071e-01,-1.488085530388245e+01
8.080808080808081e-01,-1.501627561931834e+01
9.090909090909091e-01,-1.516322165924853e+01
1.010101010101010e+00,-1.532053269278939e+01
1.111111111111111e+00,-1.548717925861906e+01
1.212121212121212e+00,-1.566225300156359e+01
1.313131313131313e+00,-1.584495470954854e+01
1.414141414141414e+00,-1.603458194708346e+01
1.515151515151515e+00,-1.623051715394341e+01
1.616161616161616e+00,-1.643221668358062e+01
1.666666666666667e+00,-1.653507595096079e+01
1.672979797979798e+00,-1.654802344177883e+01
1.676136363636363e+00,-1.655450457007757e+01
1.676925505050505e+00,-1.655612561903447e+01
1.677320075757575e+00,-1.655693625840807e+01
1.677418718434343e+00,-1.654692511703055e+01
1.677517361111111e+00,-1.654846543664060e+01
1.677714646464646e+00,-1.655154619439788e+01
1.679292929292929e+00,-1.657619774006892e+01
1.691919191919192e+00,-1.677374398550382e+01
1.717171717171717e+00,-1.717059667290923e+01
1.818181818181818e+00,-1.878061874839972e+01
1.919191919191919e+00,-2.042472394525037e+01
2.020202020202020e+00,-2.210036973019962e+01
2.121212121212121e+00,-2.380528724751337e+01
2.222222222222222e+00,-2.553744538110080e+01
2.323232323232323e+00,-2.729502004588835e+01
2.424242424242424e+00,-2.907636793989579e+01
2.525252525252525e+00,-3.088000408369007e+01
2.626262626262626e+00,-3.270458256739086e+01
2.727272727272727e+00,-3.454888001144976e+01
2.828282828282828e+00,-3.641178132368938e+01
2.929292929292929e+00,-3.829226740110552e+01
3.030303030303030e+00,-4.018940448122321e+01
3.131313131313131e+00,-4.210233489531414e+01
3.232323232323232e+00,-4.403026901564322e+01
3.333333333333333e+00,-4.597247822221766e+01
3.434343434343434e+00,-4.792828874228305e+01
3.535353535353535e+00,-4.989707623894412e+01
3.636363636363636e+00,-5.187826104456072e+01
3.737373737373737e+00,-5.387130395063768e+01
3.838383838383838e+00,-5.587570247933886e+01
3.939393939393939e+00,-5.789098757297067e+01
4.040404040404041e+00,-5.991672064717473e+01
4.141414141414141e+00,-6.195249096145558e+01
4.242424242424242e+00,-6.399791326730612e+01
4.343434343434343e+00,-6.605262569978926e+01
4.444444444444445e+00,-6.811628788316774e+01
4.545454545454545e+00,-7.018857922518366e+01
4.646464646464646e+00,-7.226919737799834e+01
4.747474747474747e+00,-7.435785684670597e+01
4.848484848484849e+00,-7.645428772881409e+01
4.949494949494950e+00,-7.855823457020671e+01
5.050505050505050e+00,-8.066945532492727e+01
5.151515151515151e+00,-8.278772040768636e+01
5.252525252525253e+00,-8.491281182935039e+01
5.353535353535354e+00,-8.704452240683560e+01
5.454545454545454e+00,-8.918265503984431e+01
5.555555555555555e+00,-9.132702204775892e+01
5.656565656565657e+00,-9.347744456077359e+01
5.757575757575758e+00,-9.563375196001167e+01
5.858585858585858e+00,-9.779578136195859e+01
5.959595959595959e+00,-9.996337714305159e+01
6.060606060606061e+00,-1.021363905007144e+02
6.161616161616162e+00,-1.043146790475203e+02
6.262626262626262e+00,-1.064981064355128e+02
6.363636363636363e+00,-1.086865420080200e+02
6.464646464646465e+00,-1.108798604765692e+02
6.565656565656566e+00,-1.130779416207482e+02
6.666666666666667e+00,-1.152806700090732e+02
6.767676767676767e+00,-1.174879347391110e+02
6.868686868686869e+00,-1.196996291952726e+02
6.969696969696970e+00,-1.219156508228456e+02
7.070707070707071e+00,-1.241359009169659e+02
7.171717171717171e+00,-1.263602844253499e+02
7.272727272727272e+00,-1.285887097637168e+02
7.373737373737374e+00,-1.308210886429237e+02
7.474747474747475e+00,-1.330573359069275e+02
7.575757575757575e+00,-1.352973693807613e+02
7.676767676767676e+00,-1.375411097277855e+02
7.777777777777778e+00,-1.397884803155378e+02
7.878787878787879e+00,-1.420394070895596e+02
7.979797979797979e+00,-1.442938184546340e+02
8.080808080808081e+00,-1.465516451629116e+02
8.181818181818182e+00,-1.488128202084468e+02
8.282828282828282e+00,-1.510772787277041e+02
8.383838383838384e+00,-1.533449579056291e+02
8.484848484848484e+00,-1.556157968869114e+02
8.585858585858587e+00,-1.578897366920947e+02
8.686868686868687e+00,-1.601667201382168e+02
8.787878787878787e+00,-1.624466917636861e+02
8.888888888888889e+00,-1.647295977571223e+02
8.989898989898990e+00,-1.670153858899112e+02
9.090909090909090e+00,-1.693040054522402e+02
9.191919191919192e+00,-1.715954071923987e+02
9.292929292929292e+00,-1.738895432591431e+02
9.393939393939394e+00,-1.761863671469410e+02
9.494949494949495e+00,-1.784858336439210e+02
9.595959595959595e+00,-1.807878987823680e+02
9.696969696969697e+00,-1.830925197916134e+02
9.797979797979798e+00,-1.853996550531821e+02
9.898989898989900e+00,-1.877092640580650e+02
1.000000000000000e+01,-1.900213073659965e+02
