,Domain_1,Domain_2
Chain_1,1.488579531162027e+01,9.864601794311625e+00
Chain_2,1.070049618709357e+01,1.308488008684973e+01
Chain_3,1.321089416123676e+01,1.418131489623821e+01
Chain_4,1.238199573175695e+01,1.236341936781150e+01
Chain_5,9.831020308202881e+00,9.903382810895037e+00
Chain_6,1.323218021932688e+01,1.119793064911148e+01
Chain_7,1.275880455301053e+01,1.116142223610265e+01
Chain_8,8.959771478682274e+00,1.213560103914665e+01
Chain_9,9.610978676213730e+00,1.364928159971927e+01
Chain_10,9.887048746142597e+00,1.273961403216897e+01
Chain_11,1.315472973053569e+01,1.552764223227246e+01
Chain_12,1.197844043651263e+01,1.106738722782602e+01
Chain_13,9.204992245723842e+00,1.161611565302926e+01
Chain_14,1.086752283582267e+01,1.139942673185637e+01
Chain_15,9.559277873294141e+00,1.389043487002988e+01
Chain_16,1.085134306942166e+01,1.253689649439425e+01
Chain_17,9.573945799700777e+00,1.179126227141455e+01
Chain_18,1.265932421924776e+01,1.261993577378157e+01
Chain_19,1.087938634513715e+01,1.046284089307528e+01
Chain_20,1.421146844664333e+01,1.275537697160573e+01
Chain_21,1.218270142298556e+01,1.316885974934556e+01
Chain_22,1.149388093664263e+01,1.287943926307811e+01
Chain_23,1.433123092683701e+01,1.507118307172048e+01
Chain_24,1.024325574410839e+01,1.199551279642180e+01
Chain_25,1.110085395634999e+01,1.143724409200242e+01
Chain_26,1.277712445149687e+01,9.875183777165395e+00
Chain_27,1.068222291024406e+01,1.099920480263089e+01
Chain_28,1.077294821118112e+01,1.157864166435678e+01
Chain_29,1.513022420738136e+01,1.070587287067745e+01
Chain_30,1.205181690296948e+01,1.087347585299898e+01
Chain_31,1.323742743110118e+01,1.002982366314879e+01
Chain_32,9.089635095713106e+00,1.233481194779596e+01
Chain_33,1.344245362045731e+01,1.016821817285310e+01
Chain_34,1.208504967571599e+01,1.067816577142279e+01
Chain_35,1.270130267818986e+01,1.133489429196212e+01
Chain_36,1.194401057619467e+01,1.489685375419796e+01
Chain_37,1.123507674779587e+01,1.252109889215466e+01
Chain_38,1.221984168437847e+01,1.244164966864637e+01
Chain_39,1.425600821225548e+01,1.617393390656346e+01
Chain_40,1.063068815088466e+01,1.271802039260621e+01
Chain_41,1.239584218760667e+01,1.157991396995639e+01
Chain_42,1.002893087304308e+01,1.076002908761744e+01
Chain_43,9.114318778469947e+00,1.504004590765696e+01
Chain_44,1.136413341523816e+01,1.045996136573430e+01
Chain_45,1.369349494457343e+01,1.249890776836038e+01
Chain_46,1.139909695066264e+01,8.663806654248003e+00
Chain_47,1.196725234829906e+01,1.038021799486378e+01
Chain_48,1.117992026584839e+01,1.516270188850629e+01
Chain_49,1.112387364549635e+01,9.069415908330514e+00
Chain_50,1.348178937693105e+01,1.185826921694226e+01
Chain_51,1.203653205853739e+01,1.525237984606026e+01
Chain_52,1.076540608901238e+01,1.531253727675782e+01
Chain_53,1.214979497442240e+01,1.125893004390044e+01
Chain_54,1.107491489635150e+01,1.374920447633506e+01
Chain_55,1.315598801935415e+01,1.291896705332048e+01
Chain_56,1.060759211718695e+01,1.219173047016816e+01
Chain_57,1.059955241413420e+01,1.081829224661583e+01
Chain_58,1.308867636177568e+01,1.409272114929651e+01
Chain_59,1.106295610117402e+01,1.184224946619271e+01
Chain_60,9.825577837435279e+00,1.255536990348948e+01
Chain_61,1.252487533476606e+01,1.136073617318127e+01
Chain_62,1.194714978029741e+01,9.899079662861720e+00
Chain_63,7.322228875134907e+00,1.097596603979484e+01
Chain_64,1.174582447915485e+01,1.397454901310037e+01
Chain_65,8.075025423967768e+00,1.262988231293226e+01
Chain_66,1.298318003500525e+01,1.160837797807101e+01
Chain_67,1.293443932237503e+01,1.000923216585858e+01
Chain_68,1.092234495998017e+01,1.075492422822465e+01
Chain_69,1.054542826308073e+01,1.127534461171271e+01
Chain_70,1.098507237895986e+01,1.045763064887191e+01
Chain_71,1.046415969567310e+01,1.319647090164270e+01
Chain_72,1.294559853823135e+01,1.337928308012322e+01
Chain_73,9.027868132040346e+00,1.081263808667453e+01
Chain_74,1.310700202030262e+01,9.619684711059135e+00
Chain_75,1.356164740180212e+01,1.191234279095817e+01
Chain_76,1.279046232598197e+01,1.385990103724139e+01
Chain_77,9.234953505170159e+00,1.304946051774604e+01
Chain_78,1.184191800236355e+01,1.303662888266382e+01
Chain_79,1.443710465028403e+01,1.306311554527184e+01
Chain_80,1.275316468150278e+01,1.382683769449066e+01
Chain_81,1.050203959436282e+01,1.415475331478342e+01
Chain_82,1.223900210415681e+01,1.297118165779029e+01
Chain_83,1.134186108819493e+01,1.193103312358406e+01
Chain_84,1.149171974615868e+01,1.042926586058263e+01
Chain_85,1.260041557391826e+01,1.352750069072690e+01
Chain_86,1.400382696585155e+01,1.329942891634211e+01
Chain_87,1.179194008690167e+01,1.095561920760782e+01
Chain_88,1.242339258608559e+01,1.050447980775695e+01
Chain_89,1.353358250065799e+01,1.214090112174005e+01
Chain_90,1.310671873988902e+01,1.140980872550726e+01
Chain_91,9.514929280877633e+00,9.899361595388831e+00
Chain_92,1.009063636628454e+01,9.648683065133273e+00
Chain_93,1.455074884170395e+01,1.149354003824735e+01
Chain_94,1.234139722986098e+01,1.312486600071750e+01
Chain_95,1.352430311452840e+01,1.201520392316406e+01
Chain_96,1.049243150032148e+01,1.258267924141753e+01
Chain_97,1.232080691486140e+01,9.210592203080903e+00
Chain_98,9.463240522603719e+00,1.112366559763698e+01
Chain_99,1.093112164795961e+01,1.323060337569359e+01
Chain_100,1.376242153778748e+01,1.460718667112059e+01
