,Domain_1,Domain_2
0.000000000000000e+00,-1.323218021932688e+01,-1.119793064911148e+01
1.010101010101010e-01,-1.324414474006355e+01,-1.120989516984815e+01
2.020202020202020e-01,-1.327889312869188e+01,-1.124464355847648e+01
3.030303030303030e-01,-1.333466430259152e+01,-1.130041473237612e+01
4.040404040404040e-01,-1.340967938450455e+01,-1.137542981428915e+01
5.050505050505051e-01,-1.350219113873435e+01,-1.146794156851895e+01
6.060606060606061e-01,-1.361052733389001e+01,-1.157627776367460e+01
7.070707070707071e-01,-1.373312356998687e+01,-1.169887399977146e+01
8.080808080808081e-01,-1.386854388542276e+01,-1.183429431520736e+01
9.090909090909091e-01,-1.401548992535296e+01,-1.198124035513755e+01
1.010101010101010e+00,-1.417280095889381e+01,-1.213855138867841e+01
1.111111111111111e+00,-1.433944752472348e+01,-1.230519795450808e+01
1.212121212121212e+00,-1.451452126766801e+01,-1.248027169745261e+01
1.313131313131313e+00,-1.469722297565296e+01,-1.266297340543756e+01
1.414141414141414e+00,-1.488685021318788e+01,-1.285260064297248e+01
1.426767676767677e+00,-1.491100896407682e+01,-1.287675939386142e+01
1.433080808080808e+00,-1.492312491413680e+01,-1.288887534392140e+01
1.434659090909091e+00,-1.492615768801008e+01,-1.289190811779468e+01
1.435448232323232e+00,-1.492767464141927e+01,-1.289342507120386e+01
1.435842803030303e+00,-1.492843325962451e+01,-1.289418368940910e+01
1.436040088383838e+00,-1.492881260408761e+01,-1.289456303387221e+01
1.436138731060606e+00,-1.492900228515746e+01,-1.289584770031237e+01
1.436237373737374e+00,-1.492919197211880e+01,-1.289728932121855e+01
1.439393939393939e+00,-1.493526506246097e+01,-1.294344480781907e+01
1.464646464646465e+00,-1.498406490986716e+01,-1.331432364810611e+01
1.515151515151515e+00,-1.508278542004783e+01,-1.406459952547923e+01
1.565656565656566e+00,-1.518294601171622e+01,-1.482582002215897e+01
1.590909090909091e+00,-1.523354689747995e+01,-1.521038675396334e+01
1.591698232323232e+00,-1.523513364572417e+01,-1.522244604061940e+01
1.592092803030303e+00,-1.523592714324440e+01,-1.522847662177310e+01
1.592290088383838e+00,-1.523632392284195e+01,-1.523149214671452e+01
1.592388731060606e+00,-1.523299997964020e+01,-1.523299996776490e+01
1.592487373737374e+00,-1.523450783255108e+01,-1.523450782786402e+01
1.594065656565657e+00,-1.525863889740601e+01,-1.525863889740601e+01
1.597222222222222e+00,-1.530693096980114e+01,-1.530693096980114e+01
1.603535353535353e+00,-1.540363447399124e+01,-1.540363447399124e+01
1.616161616161616e+00,-1.559751595072201e+01,-1.559751595072201e+01
1.717171717171717e+00,-1.717059667290923e+01,-1.717059667290923e+01
1.818181818181818e+00,-1.878061874839972e+01,-1.878061874839972e+01
1.919191919191919e+00,-2.042472394525037e+01,-2.042472394525037e+01
2.020202020202020e+00,-2.210036973019962e+01,-2.210036973019962e+01
2.121212121212121e+00,-2.380528724751337e+01,-2.380528724751337e+01
2.222222222222222e+00,-2.553744538110080e+01,-2.553744538110080e+01
2.323232323232323e+00,-2.729502004588835e+01,-2.729502004588835e+01
2.424242424242424e+00,-2.907636793989579e+01,-2.907636793989579e+01
2.525252525252525e+00,-3.088000408369007e+01,-3.088000408369007e+01
2.626262626262626e+00,-3.270458256739086e+01,-3.270458256739086e+01
2.727272727272727e+00,-3.454888001144976e+01,-3.454888001144976e+01
2.828282828282828e+00,-3.641178132368938e+01,-3.641178132368938e+01
2.929292929292929e+00,-3.829226740110552e+01,-3.829226740110552e+01
3.030303030303030e+00,-4.018940448122321e+01,-4.018940448122321e+01
3.131313131313131e+00,-4.210233489531414e+01,-4.210233489531414e+01
3.232323232323232e+00,-4.403026901564322e+01,-4.403026901564322e+01
3.333333333333333e+00,-4.597247822221766e+01,-4.597247822221766e+01
3.434343434343434e+00,-4.792828874228305e+01,-4.792828874228305e+01
3.535353535353535e+00,-4.989707623894412e+01,-4.989707623894412e+01
3.636363636363636e+00,-5.187826104456072e+01,-5.187826104456072e+01
3.737373737373737e+00,-5.387130395063768e+01,-5.387130395063768e+01
3.838383838383838e+00,-5.587570247933886e+01,-5.587570247933886e+01
3.939393939393939e+00,-5.789098757297067e+01,-5.789098757297067e+01
4.040404040404041e+00,-5.991672064717473e+01,-5.991672064717473e+01
4.141414141414141e+00,-6.195249096145558e+01,-6.195249096145558e+01
4.242424242424242e+00,-6.399791326730612e+01,-6.399791326730612e+01
4.343434343434343e+00,-6.605262569978926e+01,-6.605262569978926e+01
4.444444444444445e+00,-6.811628788316774e+01,-6.811628788316774e+01
4.545454545454545e+00,-7.018857922518366e+01,-7.018857922518366e+01
4.646464646464646e+00,-7.226919737799834e+01,-7.226919737799834e+01
4.747474747474747e+00,-7.435785684670597e+01,-7.435785684670597e+01
4.848484848484849e+00,-7.645428772881409e+01,-7.645428772881409e+01
4.949494949494950e+00,-7.855823457020671e+01,-7.855823457020671e+01
5.050505050505050e+00,-8.066945532492727e+01,-8.066945532492727e+01
5.151515151515151e+00,-8.278772040768636e+01,-8.278772040768636e+01
5.252525252525253e+00,-8.491281182935039e+01,-8.491281182935039e+01
5.353535353535354e+00,-8.704452240683560e+01,-8.704452240683560e+01
5.454545454545454e+00,-8.918265503984431e+01,-8.918265503984431e+01
5.555555555555555e+00,-9.132702204775892e+01,-9.132702204775892e+01
