,Domain_1,Domain_2,Domain_3,Domain_4
Chain_1,1.348300915611978e+01,1.234986705068471e+01,1.306341340969380e+01,9.941877945997549e+00
Chain_2,1.061384694111188e+01,1.226641280377964e+01,1.226131055746055e+01,1.355218331561810e+01
Chain_3,1.226185704881728e+01,1.121663157698168e+01,1.127555940764602e+01,1.002642937633671e+01
Chain_4,1.129422047993672e+01,1.395677598954333e+01,1.415553839445090e+01,1.354534793597159e+01
Chain_5,1.025093010413077e+01,1.152191467280233e+01,1.103812789226084e+01,1.371253000855794e+01
Chain_6,1.533781148024991e+01,1.414967529065141e+01,8.758928696437716e+00,1.215215215294030e+01
Chain_7,1.448186607217483e+01,1.229045776185152e+01,9.741604004021347e+00,8.650323442953370e+00
Chain_8,1.313754874997954e+01,1.393573808181155e+01,9.441544640237218e+00,1.209983521918356e+01
Chain_9,1.166042175820302e+01,1.272837616567793e+01,1.301355837591027e+01,1.200135475133222e+01
Chain_10,1.022785105783281e+01,1.201600730499324e+01,1.312572951813836e+01,1.033527465205676e+01
Chain_11,1.043424877465422e+01,1.222923367066407e+01,1.367070192715216e+01,1.366946136725665e+01
Chain_12,1.327761919165004e+01,1.035859319302985e+01,1.177046855468423e+01,8.003225048886989e+00
Chain_13,1.061375602625189e+01,1.536127046581397e+01,1.212881926575310e+01,1.183966553772825e+01
Chain_14,1.229973677610992e+01,1.524719587338804e+01,1.650952494767218e+01,1.060074911286870e+01
Chain_15,1.187951857169701e+01,1.263949114373221e+01,1.170581713418898e+01,1.436999674779509e+01
Chain_16,1.277134836258179e+01,1.156095756839961e+01,1.229013402278068e+01,1.075973962843875e+01
Chain_17,1.115221438311922e+01,1.264381076414555e+01,1.454550118660226e+01,1.149413175463761e+01
Chain_18,1.376917045218871e+01,1.449142412847342e+01,1.164226871333466e+01,1.121329539650087e+01
Chain_19,1.337052465885741e+01,1.176179577364232e+01,1.318581991578263e+01,1.252507967885431e+01
Chain_20,8.858360866612683e+00,1.421491453579308e+01,1.361341705326588e+01,1.304653061073113e+01
Chain_21,1.040119193427194e+01,1.096009625552562e+01,1.277466834844439e+01,1.212296786819749e+01
Chain_22,1.248029220869961e+01,1.566449736244316e+01,1.184122081497753e+01,9.571017156429628e+00
Chain_23,9.044613947825141e+00,1.340587953585283e+01,1.274577081784310e+01,1.287113023144165e+01
Chain_24,9.883107098115515e+00,1.447032598944384e+01,1.294464244222059e+01,1.420799001599850e+01
Chain_25,1.361365114774192e+01,1.314236312947207e+01,1.230628266998449e+01,1.116900336596643e+01
Chain_26,1.200048536350862e+01,1.369364666325302e+01,1.324478117164973e+01,1.043942370086438e+01
Chain_27,1.393699006836115e+01,1.230201504387793e+01,1.224159010395001e+01,1.025139895200093e+01
Chain_28,1.129157815337766e+01,1.239078201989685e+01,1.209833092548623e+01,1.155662296622472e+01
Chain_29,8.518520280421372e+00,9.797771685074583e+00,1.339313413761793e+01,1.384213851752931e+01
Chain_30,1.090913224293149e+01,1.103788654643601e+01,1.147074474569327e+01,1.022265094763674e+01
Chain_31,1.361801962920085e+01,1.076537102740527e+01,1.361700182668459e+01,1.116906203133865e+01
Chain_32,1.393029168965975e+01,1.231982764796938e+01,1.304866430303763e+01,1.185822226313322e+01
Chain_33,1.109278036330490e+01,9.950080248965071e+00,1.153192841806904e+01,1.145061993556361e+01
Chain_34,1.520529237845412e+01,1.137376122913786e+01,1.282098095287086e+01,1.468301015187046e+01
Chain_35,1.516629781993176e+01,1.073416000576876e+01,1.183085300101448e+01,9.333581864608277e+00
Chain_36,1.072972560531435e+01,9.128849736237493e+00,1.326189224156713e+01,1.050033596795558e+01
Chain_37,1.189508114242077e+01,1.560449190202796e+01,1.140244989971068e+01,1.126052928741190e+01
Chain_38,1.010811612390999e+01,1.116700373988448e+01,1.283387290638173e+01,1.468781036941540e+01
Chain_39,1.365865355388490e+01,9.935106875623548e+00,1.294883582097989e+01,1.264168371169762e+01
Chain_40,1.353022552156503e+01,1.065794186888838e+01,1.219100820501809e+01,9.762694351972533e+00
Chain_41,1.091375243643636e+01,1.176575955052108e+01,9.921590065645196e+00,1.085018282412829e+01
Chain_42,1.144108526109590e+01,1.197541174112149e+01,1.315117054029489e+01,1.112370034231030e+01
Chain_43,1.604166129887748e+01,1.338293097483525e+01,1.144672778519540e+01,8.534613214959959e+00
Chain_44,1.300210524538561e+01,1.353665343547750e+01,1.122342067629208e+01,9.705219539838664e+00
Chain_45,1.051439119317103e+01,1.023370092276274e+01,1.423777607831341e+01,1.182881119602435e+01
Chain_46,1.198045715666178e+01,1.147514398942622e+01,1.385440406485428e+01,8.820585515447094e+00
Chain_47,8.926071252931420e+00,9.852985119650187e+00,9.507944350592670e+00,1.440994683902686e+01
Chain_48,1.317984604401754e+01,1.682968162129331e+01,1.197295647834790e+01,1.319405576570949e+01
Chain_49,9.768057147036050e+00,8.542219410431745e+00,1.232528179326381e+01,1.182150961614601e+01
Chain_50,9.203421813904933e+00,1.138255135163860e+01,1.142897452150959e+01,8.108580973696496e+00
Chain_51,1.235290863869260e+01,1.020795184056437e+01,1.450043820496808e+01,1.293735116217610e+01
Chain_52,9.720168871204098e+00,1.113876691023617e+01,1.236831346262489e+01,1.164744714923152e+01
Chain_53,1.374654313154955e+01,1.339222429418977e+01,8.741883211515711e+00,8.891363269102845e+00
Chain_54,1.345312349623670e+01,1.206784278332203e+01,1.267504918250700e+01,1.187806151397710e+01
Chain_55,1.095067155541231e+01,9.293393409740808e+00,1.129565567035891e+01,1.415319191877405e+01
Chain_56,1.258432568743010e+01,9.584918842509090e+00,1.224520015642081e+01,1.008962644861342e+01
Chain_57,8.950622885749560e+00,1.282261266748467e+01,1.422056538044268e+01,1.247727146446050e+01
Chain_58,1.147586725873805e+01,1.187726774101243e+01,1.119177603068891e+01,1.261977031593353e+01
Chain_59,1.196615944562665e+01,1.225257057342366e+01,8.313138008199639e+00,1.145234547558294e+01
Chain_60,1.215167510861972e+01,1.244837242961438e+01,1.083714157994462e+01,1.052514406955048e+01
Chain_61,1.174873844126044e+01,1.388127027488637e+01,1.090214299769859e+01,1.078892144009356e+01
Chain_62,9.531164551413275e+00,1.643338194119657e+01,1.036003256103608e+01,1.312989344087450e+01
Chain_63,9.271775128996733e+00,1.092275710601188e+01,9.503471205694176e+00,1.129959340827436e+01
Chain_64,1.061625433341304e+01,1.241525557469990e+01,1.574571891305405e+01,1.157826515114509e+01
Chain_65,1.504351530798166e+01,1.320946652849968e+01,1.300878051032795e+01,1.368625151589541e+01
Chain_66,1.251146888102356e+01,1.178285315757519e+01,1.003313316205691e+01,1.165781872050675e+01
Chain_67,1.046630564797131e+01,1.238389295646649e+01,1.132181800229176e+01,1.161579476812486e+01
Chain_68,1.295512742424565e+01,1.195898818290716e+01,1.390838245808295e+01,1.026560488852779e+01
Chain_69,1.222077985868481e+01,1.470160907694438e+01,1.248733761289285e+01,1.221121052054795e+01
Chain_70,1.283265913237947e+01,1.142420615029135e+01,1.391453738779090e+01,1.034085842824175e+01
Chain_71,1.128822797433117e+01,1.224055595783647e+01,1.175651376627983e+01,9.903019405561947e+00
Chain_72,1.133369041050836e+01,1.118223895611504e+01,1.041742114493879e+01,1.285268120159543e+01
Chain_73,8.938283361965901e+00,1.075513572451640e+01,1.413512882410177e+01,9.413250996824191e+00
Chain_74,1.069137200298709e+01,1.417909496226841e+01,1.300562896260320e+01,1.166334822205460e+01
