,Domain_1,Domain_2,Domain_3,Domain_4
0.000000000000000e+00,-1.258432568743010e+01,-9.584918842509090e+00,-1.224520015642081e+01,-1.008962644861342e+01
1.010101010101010e-01,-1.259629020816677e+01,-9.596883363245755e+00,-1.225716467715747e+01,-1.010159096935008e+01
2.020202020202020e-01,-1.263103859679510e+01,-9.631631751874085e+00,-1.229191306578580e+01,-1.013633935797841e+01
3.030303030303030e-01,-1.268680977069474e+01,-9.687402925773727e+00,-1.234768423968544e+01,-1.019211053187805e+01
4.040404040404040e-01,-1.276182485260777e+01,-9.762418007686762e+00,-1.242269932159848e+01,-1.026712561379109e+01
5.050505050505051e-01,-1.285433660683757e+01,-9.854929761916555e+00,-1.251521107582827e+01,-1.035963736802088e+01
6.060606060606061e-01,-1.296267280199323e+01,-9.963265957072213e+00,-1.262354727098393e+01,-1.046797356317654e+01
7.070707070707071e-01,-1.308526903809009e+01,-1.008586219316907e+01,-1.274614350708079e+01,-1.059056979927340e+01
8.080808080808081e-01,-1.322068935352598e+01,-1.022128250860497e+01,-1.288156382251669e+01,-1.072599011470930e+01
9.090909090909091e-01,-1.336763539345618e+01,-1.036822854853516e+01,-1.302850986244688e+01,-1.087293615463949e+01
1.010101010101010e+00,-1.352494642699703e+01,-1.052553958207602e+01,-1.318582089598774e+01,-1.103024718818035e+01
1.111111111111111e+00,-1.369159299282670e+01,-1.069218614790569e+01,-1.335246746181741e+01,-1.119689375401001e+01
1.212121212121212e+00,-1.386666673577123e+01,-1.086725989085022e+01,-1.352754120476193e+01,-1.137196749695454e+01
1.262626262626263e+00,-1.395711012130679e+01,-1.095770327638577e+01,-1.361798459029749e+01,-1.146241088249010e+01
1.287878787878788e+00,-1.400301784872691e+01,-1.100361100380589e+01,-1.366389231771761e+01,-1.150831860991022e+01
1.300505050505051e+00,-1.402613844791743e+01,-1.102673160299642e+01,-1.368701291690813e+01,-1.153143920910074e+01
1.303661616161616e+00,-1.403193574183990e+01,-1.103252889691889e+01,-1.369281021083060e+01,-1.153723650302321e+01
1.305239898989899e+00,-1.403483694638753e+01,-1.103543010146651e+01,-1.369571141537823e+01,-1.154013770757084e+01
1.305634469696970e+00,-1.403556251351026e+01,-1.103615566858925e+01,-1.369643698250096e+01,-1.154086327469357e+01
1.305733112373737e+00,-1.403574392190424e+01,-1.103077862282936e+01,-1.369661839089494e+01,-1.154104468308755e+01
1.305831755050505e+00,-1.403592533694230e+01,-1.103215736142455e+01,-1.369679980593300e+01,-1.154122609812561e+01
1.306029040404041e+00,-1.403628818694819e+01,-1.103491500144650e+01,-1.369716265593889e+01,-1.154158894813150e+01
1.306818181818182e+00,-1.403773985261150e+01,-1.104594765537863e+01,-1.369861432160221e+01,-1.154304061379482e+01
1.313131313131313e+00,-1.404936844375618e+01,-1.113432494807818e+01,-1.371024291274689e+01,-1.155466920493949e+01
1.338383838383838e+00,-1.409615147058130e+01,-1.148987595194910e+01,-1.375702593957201e+01,-1.160145223176461e+01
1.344696969696970e+00,-1.410791360347963e+01,-1.157926816197644e+01,-1.376878807247034e+01,-1.161321436466295e+01
1.346275252525253e+00,-1.411085824258748e+01,-1.160164741919606e+01,-1.377173271157818e+01,-1.161615900377079e+01
1.347064393939394e+00,-1.411233117636723e+01,-1.161284171592218e+01,-1.377320564535794e+01,-1.161763193755055e+01
1.347163036616162e+00,-1.411251532185954e+01,-1.161424122166370e+01,-1.377338979085024e+01,-1.161781608304285e+01
1.347261679292930e+00,-1.411269947374319e+01,-1.161564077597943e+01,-1.377357394273389e+01,-1.161564078296754e+01
1.347458964646465e+00,-1.411306779668217e+01,-1.161844003031568e+01,-1.377394226567287e+01,-1.161844003031568e+01
1.347853535353535e+00,-1.411380451923047e+01,-1.162403912168276e+01,-1.377467898822117e+01,-1.162403912168276e+01
1.351010101010101e+00,-1.411970197552420e+01,-1.166885978951514e+01,-1.378057644451490e+01,-1.166885978951514e+01
1.363636363636364e+00,-1.414335682433224e+01,-1.184863664045626e+01,-1.380423129332295e+01,-1.184863664045626e+01
1.414141414141414e+00,-1.423899568129110e+01,-1.257549195334357e+01,-1.389987015028180e+01,-1.257549195334357e+01
1.515151515151515e+00,-1.443493088815105e+01,-1.406459952547923e+01,-1.409580535714176e+01,-1.406459952547923e+01
1.516729797979798e+00,-1.443803943969199e+01,-1.408822451719037e+01,-1.409891390868270e+01,-1.408822451719037e+01
1.517124368686869e+00,-1.443881679703795e+01,-1.409413243301966e+01,-1.409969126602866e+01,-1.409413243301966e+01
1.517321654040404e+00,-1.443920550860921e+01,-1.409708664096120e+01,-1.410007997759991e+01,-1.409708664096120e+01
1.517420296717172e+00,-1.443939987261775e+01,-1.409856380742611e+01,-1.410027434160845e+01,-1.409856380742611e+01
1.517518939393939e+00,-1.443959424210760e+01,-1.410004101554898e+01,-1.410004101573818e+01,-1.410004101554898e+01
1.518308080808081e+00,-1.444114939529688e+01,-1.411186017978748e+01,-1.411186017978748e+01,-1.411186017978748e+01
1.521464646464646e+00,-1.444737351095387e+01,-1.415916345878063e+01,-1.415916345878063e+01,-1.415916345878063e+01
1.527777777777778e+00,-1.445983850605648e+01,-1.425389742156043e+01,-1.425389742156043e+01,-1.425389742156043e+01
1.540404040404040e+00,-1.448483512256861e+01,-1.444387170705266e+01,-1.444387170705266e+01,-1.444387170705266e+01
1.541982323232323e+00,-1.448796590878887e+01,-1.446766568232658e+01,-1.446766568232658e+01,-1.446766568232658e+01
1.542771464646465e+00,-1.448953181708666e+01,-1.447956658538981e+01,-1.447956658538981e+01,-1.447956658538981e+01
1.543166035353535e+00,-1.449031489992971e+01,-1.448551801499700e+01,-1.448551801499700e+01,-1.448551801499700e+01
1.543363320707070e+00,-1.449070647351194e+01,-1.448849397422196e+01,-1.448849397422196e+01,-1.448849397422196e+01
1.543461963383838e+00,-1.449090226834163e+01,-1.448998201492760e+01,-1.448998201492760e+01,-1.448998201492760e+01
1.543560606060606e+00,-1.449147009635736e+01,-1.449147009635736e+01,-1.449147009635736e+01,-1.449147009635736e+01
1.546717171717172e+00,-1.453911018364290e+01,-1.453911018364290e+01,-1.453911018364290e+01,-1.453911018364290e+01
1.553030303030303e+00,-1.463451499733689e+01,-1.463451499733689e+01,-1.463451499733689e+01,-1.463451499733689e+01
1.565656565656566e+00,-1.482582002215897e+01,-1.482582002215897e+01,-1.482582002215897e+01,-1.482582002215897e+01
1.616161616161616e+00,-1.559751595072201e+01,-1.559751595072201e+01,-1.559751595072201e+01,-1.559751595072201e+01
1.717171717171717e+00,-1.717059667290923e+01,-1.717059667290923e+01,-1.717059667290923e+01,-1.717059667290923e+01
1.818181818181818e+00,-1.878061874839972e+01,-1.878061874839972e+01,-1.878061874839972e+01,-1.878061874839972e+01
1.919191919191919e+00,-2.042472394525037e+01,-2.042472394525037e+01,-2.042472394525037e+01,-2.042472394525037e+01
2.020202020202020e+00,-2.210036973019962e+01,-2.210036973019962e+01,-2.210036973019962e+01,-2.210036973019962e+01
2.121212121212121e+00,-2.380528724751337e+01,-2.380528724751337e+01,-2.380528724751337e+01,-2.380528724751337e+01
2.222222222222222e+00,-2.553744538110080e+01,-2.553744538110080e+01,-2.553744538110080e+01,-2.553744538110080e+01
2.323232323232323e+00,-2.729502004588835e+01,-2.729502004588835e+01,-2.729502004588835e+01,-2.729502004588835e+01
2.424242424242424e+00,-2.907636793989579e+01,-2.907636793989579e+01,-2.907636793989579e+01,-2.907636793989579e+01
2.525252525252525e+00,-3.088000408369007e+01,-3.088000408369007e+01,-3.088000408369007e+01,-3.088000408369007e+01
2.626262626262626e+00,-3.270458256739086e+01,-3.270458256739086e+01,-3.270458256739086e+01,-3.270458256739086e+01
2.727272727272727e+00,-3.454888001144976e+01,-3.454888001144976e+01,-3.454888001144976e+01,-3.454888001144976e+01
2.828282828282828e+00,-3.641178132368938e+01,-3.641178132368938e+01,-3.641178132368938e+01,-3.641178132368938e+01
2.929292929292929e+00,-3.829226740110552e+01,-3.829226740110552e+01,-3.829226740110552e+01,-3.829226740110552e+01
3.030303030303030e+00,-4.018940448122321e+01,-4.018940448122321e+01,-4.018940448122321e+01,-4.018940448122321e+01
3.131313131313131e+00,-4.210233489531414e+01,-4.210233489531414e+01,-4.210233489531414e+01,-4.210233489531414e+01
3.232323232323232e+00,-4.403026901564322e+01,-4.403026901564322e+01,-4.403026901564322e+01,-4.403026901564322e+01
3.333333333333333e+00,-4.597247822221766e+01,-4.597247822221766e+01,-4.597247822221766e+01,-4.597247822221766e+01
3.434343434343434e+00,-4.792828874228305e+01,-4.792828874228305e+01,-4.792828874228305e+01,-4.792828874228305e+01
3.535353535353535e+00,-4.989707623894412e+01,-4.989707623894412e+01,-4.989707623894412e+01,-4.989707623894412e+01
3.636363636363636e+00,-5.187826104456072e+01,-5.187826104456072e+01,-5.187826104456072e+01,-5.187826104456072e+01
3.737373737373737e+00,-5.387130395063768e+01,-5.387130395063768e+01,-5.387130395063768e+01,-5.387130395063768e+01
3.838383838383838e+00,-5.587570247933886e+01,-5.587570247933886e+01,-5.587570247933886e+01,-5.587570247933886e+01
