,Domain_1,Domain_2,Domain_3,Domain_4
0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.010101010101010e-01,2.340949850505051e-01,2.340949850505051e-01,2.340949850505051e-01,2.340949850505051e-01
2.020202020202020e-01,4.510090178879707e-01,4.510090178879707e-01,4.510090178879707e-01,4.510090178879707e-01
3.030303030303030e-01,6.503167106703399e-01,6.503167106703399e-01,6.503167106703399e-01,6.503167106703399e-01
4.040404040404040e-01,8.320916684649552e-01,8.320916684649552e-01,8.320916710376494e-01,8.320916710376494e-01
5.050505050505051e-01,9.968763844384207e-01,9.968763844384207e-01,9.968764187410103e-01,9.968764187410103e-01
6.060606060606061e-01,1.145595617242388e+00,1.145595617242388e+00,1.145595614383839e+00,1.145595614383839e+00
7.070707070707071e-01,1.279439033279118e+00,1.279439033279118e+00,1.279439033279118e+00,1.279439033279118e+00
8.080808080808081e-01,1.399740954686060e+00,1.399740954686060e+00,1.399740937534766e+00,1.399740937534766e+00
9.090909090909091e-01,1.507876517965106e+00,1.507876517965106e+00,1.507876517965106e+00,1.507876517965106e+00
1.010101010101010e+00,1.605185031992654e+00,1.605185031992654e+00,1.605185031992654e+00,1.605185031992654e+00
1.111111111111111e+00,1.692920179235262e+00,1.692920179235262e+00,1.692920179235262e+00,1.692920179235262e+00
1.212121212121212e+00,1.772223271164004e+00,1.772223271164004e+00,1.772223256871258e+00,1.772223256871258e+00
1.313131313131313e+00,1.844113473445730e+00,1.844113473445730e+00,1.844113490597025e+00,1.844113490597025e+00
1.363636363636364e+00,1.877563877742721e+00,1.877563877742721e+00,1.877563866022670e+00,1.877563866022670e+00
1.366792929292930e+00,1.879602868257851e+00,1.879602868257851e+00,1.879602889696970e+00,1.879602889696970e+00
1.367582070707071e+00,1.880111675709826e+00,1.880111675709826e+00,1.880111672851276e+00,1.880111672851276e+00
1.367680713383839e+00,1.880175252700973e+00,1.880175252700973e+00,1.880175264135170e+00,1.428929856383177e+01
1.367779356060606e+00,1.880238821974038e+00,1.880238821974038e+00,1.880238817972070e+00,1.428981506049504e+01
1.367976641414142e+00,1.880365942225455e+00,1.880365942225455e+00,1.880365943654729e+00,1.429078125181532e+01
1.368371212121212e+00,1.880620111550413e+00,1.880620111550413e+00,1.880620125843159e+00,1.429271294354453e+01
1.369949494949495e+00,1.881635913276650e+00,1.881635913276650e+00,1.881635902700018e+00,1.430043294027366e+01
1.376262626262626e+00,1.885684295745822e+00,1.885684295745822e+00,1.885684274306703e+00,1.433120066339027e+01
1.388888888888889e+00,1.893710901597796e+00,1.893710901597796e+00,1.893710910459298e+00,1.439220292360698e+01
1.414141414141414e+00,1.909488663507805e+00,1.909488663507805e+00,1.909488665508790e+00,1.451211377262487e+01
1.439393939393939e+00,1.924908730877649e+00,1.924908730877649e+00,1.924908749458218e+00,1.462930642584801e+01
1.452020202020202e+00,1.932488156738292e+00,1.932488156738292e+00,1.932488156738292e+00,1.468690994547423e+01
1.453598484848485e+00,1.933429549859027e+00,1.933429549859027e+00,1.933429584161616e+00,1.469406467526171e+01
1.453795770202020e+00,1.933547141994491e+00,1.933547141994491e+00,1.933547157716511e+00,1.469495832203637e+01
1.453894412878788e+00,1.933605909476731e+00,1.469540512041139e+01,1.933605918052379e+00,1.469540512041139e+01
1.453993055555556e+00,1.933664701256639e+00,1.469585182302502e+01,1.933664706973737e+00,1.469585182302502e+01
1.454387626262626e+00,1.933899776616845e+00,1.469763828330725e+01,1.933899801200367e+00,1.469763828330725e+01
1.455176767676768e+00,1.934369644912602e+00,1.470120930436584e+01,1.934369653774105e+00,1.470120930436584e+01
1.458333333333333e+00,1.936245821045069e+00,1.471546839058806e+01,1.936245791030303e+00,1.471546839058806e+01
1.464646464646465e+00,1.939982350668871e+00,1.474386588938109e+01,1.939982343522498e+00,1.474386588938109e+01
1.515151515151515e+00,1.969133050858373e+00,1.496541106966615e+01,1.969133041425161e+00,1.496541106966615e+01
1.540404040404040e+00,1.983230619621671e+00,1.507255275200294e+01,1.983230655353535e+00,1.507255275200294e+01
1.553030303030303e+00,1.990164257785418e+00,1.512524844149539e+01,1.990164252068320e+00,1.512524844149539e+01
1.559343434343434e+00,1.993602817393543e+00,1.515138157547125e+01,1.993602848265873e+00,1.515138157547125e+01
1.560921717171717e+00,1.994459553724298e+00,1.515789265232631e+01,1.994459550865749e+00,1.515789265232631e+01
1.561710858585859e+00,1.994887474240882e+00,1.516114483939085e+01,1.994887489962902e+00,1.516114483939085e+01
1.562105429292929e+00,1.995101316584022e+00,1.516277011323416e+01,1.995101323730395e+00,1.516277011323416e+01
1.562204071969697e+00,1.516309610646450e+01,1.516317645599266e+01,1.995154771452709e+00,1.516317645599266e+01
1.562302714646465e+00,1.516353604946700e+01,1.516358259865271e+01,1.995208240899997e+00,1.516358259865271e+01
1.562500000000000e+00,1.516439485538733e+01,1.516439485538733e+01,1.995315106044004e+00,1.516439485538733e+01
1.565656565656566e+00,1.517737289996929e+01,1.517737289996929e+01,1.997022761843893e+00,1.517737289996929e+01
1.616161616161616e+00,1.538033144308246e+01,1.538033144308246e+01,2.023727801455897e+00,1.538033144308246e+01
1.641414141414141e+00,1.547860439585381e+01,1.547860439585381e+01,2.036658475019284e+00,1.547860439585381e+01
1.642203282828283e+00,1.548164217601176e+01,1.548164217601176e+01,2.037058171651055e+00,1.548164217601176e+01
1.642597853535354e+00,1.548316012991589e+01,1.548316012991589e+01,2.037257877039486e+00,1.548316012991589e+01
1.642795138888889e+00,1.548391910329477e+01,1.548391910329477e+01,2.037357747599633e+00,1.548391910329477e+01
1.642893781565657e+00,1.548429839703214e+01,1.548429839703214e+01,2.037407665013774e+00,1.548429839703214e+01
1.642992424242424e+00,1.548467772650138e+01,1.548467772650138e+01,1.548443944499247e+01,1.548467772650138e+01
1.644570707070707e+00,1.549074299461113e+01,1.549074299461113e+01,1.549074299461113e+01,1.549074299461113e+01
1.647727272727273e+00,1.550284972168910e+01,1.550284972168910e+01,1.550284972168910e+01,1.550284972168910e+01
1.654040404040404e+00,1.552696781693297e+01,1.552696781693297e+01,1.552696781693297e+01,1.552696781693297e+01
1.666666666666667e+00,1.557482607521029e+01,1.557482607521029e+01,1.557482607521029e+01,1.557482607521029e+01
1.717171717171717e+00,1.576135834023141e+01,1.576135834023141e+01,1.576135834023141e+01,1.576135834023141e+01
1.818181818181818e+00,1.611237062876033e+01,1.611237062876033e+01,1.611237062876033e+01,1.611237062876033e+01
1.919191919191919e+00,1.643672394519743e+01,1.643672394519743e+01,1.643672394519743e+01,1.643672394519743e+01
2.020202020202020e+00,1.673732478368558e+01,1.673732478368558e+01,1.673732478368558e+01,1.673732478368558e+01
2.121212121212121e+00,1.701669562087787e+01,1.701669562087787e+01,1.701669562087787e+01,1.701669562087787e+01
2.222222222222222e+00,1.727703000017925e+01,1.727703000017925e+01,1.727703000017925e+01,1.727703000017925e+01
2.323232323232323e+00,1.752024059110376e+01,1.752024059110376e+01,1.752024059110376e+01,1.752024059110376e+01
2.424242424242424e+00,1.774800067396878e+01,1.774800067396878e+01,1.774800067396878e+01,1.774800067396878e+01
