,Domain_1,Domain_2,Domain_3,Domain_4,Domain_5,Domain_6
Chain_1,1.383293508172167e+01,1.280601194124773e+01,1.230045271677422e+01,1.282926439448921e+01,1.001556003962753e+01,1.119734041525729e+01
Chain_2,1.222473726828226e+01,1.047842960154174e+01,1.104453991515922e+01,1.070115661485830e+01,1.127551760792210e+01,1.234073656718994e+01
Chain_3,1.180260956205090e+01,9.176902590214587e+00,1.177320329279768e+01,1.078547098069191e+01,1.203343420482147e+01,1.186557535087005e+01
Chain_4,1.369660883265975e+01,1.237229789433768e+01,1.163851978334714e+01,1.022884309942015e+01,1.152937970239997e+01,1.030623797926844e+01
Chain_5,1.242711803979850e+01,1.528520318738756e+01,1.317776444696232e+01,1.221965695410402e+01,9.907272142284212e+00,1.177009820822759e+01
Chain_6,1.223907810000403e+01,9.073199624721873e+00,1.137379087557639e+01,1.314910221894732e+01,1.245399729812699e+01,1.143941477658331e+01
Chain_7,1.250948958972935e+01,1.372066754856172e+01,1.122575756292838e+01,1.283628585020454e+01,9.418265590509746e+00,1.004529740807752e+01
Chain_8,8.646633304283633e+00,1.107938970486290e+01,1.165480673240138e+01,8.569457209967048e+00,1.350550637100829e+01,1.122214976782501e+01
Chain_9,1.273641737407934e+01,1.169227269621042e+01,1.267717580421809e+01,1.178648987420064e+01,1.263098632623998e+01,7.943290521987644e+00
Chain_10,9.908159324855069e+00,9.942829739064416e+00,1.252164206817104e+01,1.335829670819694e+01,1.259528205869821e+01,9.705704056065276e+00
Chain_11,1.361484061079142e+01,1.072390549102896e+01,1.545629908790060e+01,1.127076977669423e+01,1.158665976658352e+01,1.308302648993073e+01
Chain_12,8.356977965293975e+00,1.152004700285673e+01,1.101077587806975e+01,1.090193439056074e+01,9.248777133776191e+00,1.449395177842254e+01
Chain_13,1.156768712766698e+01,1.126662856732425e+01,1.237694964585024e+01,1.421633715420458e+01,1.202932852982277e+01,1.025980333137487e+01
Chain_14,1.064499647720150e+01,1.317078693789518e+01,1.410596604043381e+01,1.058382318958949e+01,1.208920718640150e+01,1.330373468038507e+01
Chain_15,1.168961986262312e+01,9.606955345495425e+00,1.287048358061036e+01,1.061068025446716e+01,1.102786309848601e+01,1.000760285357674e+01
