,Domain_1,Domain_2,Domain_3,Domain_4,Domain_5,Domain_6
0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.010101010101010e-01,6.502638473625140e-02,6.502638473625140e-02,6.502638473625140e-02,6.502638473625140e-02,6.502638473625140e-02,6.502638473625140e-02
2.020202020202020e-01,1.252802827466585e-01,1.252802827466585e-01,1.252802827466585e-01,1.252802827466585e-01,1.252802827466585e-01,1.252802827466585e-01
3.030303030303030e-01,1.806435307417611e-01,1.806435307417611e-01,1.806435307417611e-01,1.806435307417611e-01,1.806435307417611e-01,1.806435307417611e-01
4.040404040404040e-01,2.311365745735987e-01,2.311365752882359e-01,2.311365752882359e-01,2.311365745735987e-01,2.311365745735987e-01,2.311365745735987e-01
5.050505050505051e-01,2.769101067884502e-01,2.769101163169473e-01,2.769101163169473e-01,2.769101067884502e-01,2.769101067884502e-01,2.769101067884502e-01
6.060606060606061e-01,3.182210047895522e-01,3.182210039955107e-01,3.182210039955107e-01,3.182210047895522e-01,3.182210047895522e-01,3.182210047895522e-01
7.070707070707071e-01,3.553997314664217e-01,3.553997314664217e-01,3.553997314664217e-01,3.553997314664217e-01,3.553997314664217e-01,3.553997314664217e-01
8.080808080808081e-01,3.888169318572390e-01,3.888169270929905e-01,3.888169270929905e-01,3.888169318572390e-01,3.888169318572390e-01,3.888169318572390e-01
9.090909090909091e-01,4.188545883236405e-01,4.188545883236405e-01,4.188545883236405e-01,4.188545883236405e-01,4.188545883236405e-01,4.188545883236405e-01
1.010101010101010e+00,4.458847410345884e-01,4.458847311090705e-01,4.458847311090705e-01,4.458847311090705e-01,4.458847311090705e-01,4.458847311090705e-01
1.111111111111111e+00,4.702555993878175e-01,4.702556053431282e-01,4.702556053431282e-01,4.702556053431282e-01,4.702556053431282e-01,4.702556053431282e-01
1.212121212121212e+00,4.922842499304153e-01,4.922842380197939e-01,4.922842380197939e-01,4.922842419900010e-01,4.922842419900010e-01,4.922842419900010e-01
1.313131313131313e+00,5.122537406387103e-01,5.122537473880625e-01,5.122537473880625e-01,5.122537426238138e-01,5.122537406387103e-01,5.122537426238138e-01
1.363636363636364e+00,5.215455141312111e-01,5.215455183396306e-01,5.215455183396306e-01,5.215455215952004e-01,5.215455240567288e-01,5.215455215952004e-01
1.388888888888889e+00,5.260308059993878e-01,5.260308084609162e-01,5.260308084609162e-01,5.260308059993878e-01,5.260308059993878e-01,5.260308059993878e-01
1.401515151515151e+00,5.282347739771861e-01,5.282347771533518e-01,5.282347771533518e-01,5.282347823146210e-01,5.282347850937660e-01,5.282347823146210e-01
1.404671717171717e+00,5.287818121416181e-01,5.287818101565146e-01,5.287818101565146e-01,5.287818068215406e-01,5.287818121416181e-01,5.287818068215406e-01
1.406250000000000e+00,5.290547396629730e-01,5.290547380748902e-01,5.290547380748902e-01,5.290547426803305e-01,5.290547440302009e-01,5.290547426803305e-01
1.407039141414141e+00,5.291910586301970e-01,5.291910610917254e-01,5.291910610917254e-01,5.291910610917254e-01,5.291910549776064e-01,5.291910610917254e-01
1.407433712121212e+00,5.292591799204164e-01,5.292591799204164e-01,5.292591768193423e-01,5.292591779353127e-01,5.292591799204164e-01,5.292591779353127e-01
1.407532354797980e+00,5.292762021834507e-01,5.292762025804714e-01,5.292762087133965e-01,5.292762041685543e-01,5.292762021834507e-01,5.292762041685543e-01
1.407630997474747e+00,5.292932244464851e-01,5.292932343720028e-01,5.292932296704419e-01,5.292932244464851e-01,5.292932244464851e-01,5.292932244464851e-01
1.407828282828283e+00,5.293272788980716e-01,5.293272812801958e-01,5.293272769129681e-01,5.293272729427609e-01,5.293272788980716e-01,5.293272729427609e-01
1.414141414141414e+00,5.304135176410570e-01,5.304135181968860e-01,5.304135150813183e-01,5.304135176410570e-01,5.304135176410570e-01,5.304135176410570e-01
1.426767676767677e+00,5.325674046321804e-01,5.325674129696154e-01,5.325674147353128e-01,5.325674046321804e-01,5.325674046321804e-01,5.325674046321804e-01
1.428345959595960e+00,5.328349231433527e-01,5.328349287016426e-01,5.328349237284360e-01,5.328349231433527e-01,5.328349231433527e-01,5.328349231433527e-01
1.429135101010101e+00,5.329685444342415e-01,5.329685345087236e-01,5.329685408819509e-01,5.329685345087236e-01,5.329685444342415e-01,5.329685345087236e-01
1.429332386363637e+00,5.330019338761351e-01,5.330019338761351e-01,5.330019307417612e-01,5.330019338761351e-01,5.330019338761351e-01,5.330019338761351e-01
1.429431029040404e+00,5.330186186715641e-01,5.330186182745434e-01,5.330186202387512e-01,5.330186202387512e-01,5.330186166864606e-01,5.330186174805021e-01
1.429529671717172e+00,5.330353074372003e-01,5.330353034669931e-01,5.330353071237628e-01,5.330353071237628e-01,5.330353074372003e-01,5.330353110103867e-01
1.429924242424243e+00,5.331020525742272e-01,5.331020577354963e-01,5.331020601489644e-01,5.331020601489644e-01,5.331020525742272e-01,5.331020529712478e-01
1.433080808080808e+00,5.336351719865320e-01,5.336351719865320e-01,5.336351727910214e-01,5.336351727910214e-01,5.336351719865320e-01,5.336351719865320e-01
1.439393939393939e+00,5.346968748495051e-01,5.346968748495051e-01,5.346968722897664e-01,5.346968722897664e-01,5.346968748495051e-01,5.346968696882358e-01
1.464646464646465e+00,5.388839894730743e-01,5.388839843118050e-01,5.388839871849812e-01,5.388839871849812e-01,5.388839894730743e-01,5.388839862969085e-01
1.477272727272727e+00,5.409423878216507e-01,5.409423858365472e-01,5.409423966501378e-01,5.409423966501378e-01,5.409423878216507e-01,5.409423898067544e-01
1.478851010101010e+00,5.411980782917661e-01,5.411980751156004e-01,5.411980746454443e-01,5.411980746454443e-01,5.411980691602897e-01,5.411980751156004e-01
1.479048295454545e+00,5.412300094765841e-01,5.412300094765841e-01,5.412300099989796e-01,5.412300099989796e-01,5.412300134467912e-01,5.412300024045434e-01
1.479146938131313e+00,5.412459796347311e-01,5.412459743146536e-01,5.412459731047852e-01,5.412459731047852e-01,5.412459796347311e-01,5.412459731047852e-01
1.479245580808081e+00,5.412619398673605e-01,5.412619381998734e-01,5.412619388748088e-01,5.412619388748088e-01,5.412619398673605e-01,5.412619388748088e-01
1.479640151515151e+00,5.413257788127742e-01,5.413257807978777e-01,5.413257857606366e-01,5.413257857606366e-01,5.413257835770228e-01,5.413257857606366e-01
1.480429292929293e+00,5.414534031058054e-01,5.414533923862461e-01,5.414533981430467e-01,5.414533981430467e-01,5.414534031058054e-01,5.414533981430467e-01
1.483585858585859e+00,5.419629692643607e-01,5.419629728375472e-01,5.419629729733701e-01,5.419629729733701e-01,5.419629692643607e-01,5.419629729733701e-01
1.489898989898990e+00,5.429778554449546e-01,5.429778614002653e-01,5.429778603868178e-01,5.429778603868178e-01,5.429778554449546e-01,5.429778603868178e-01
1.515151515151515e+00,5.469813956316294e-01,5.469814003958779e-01,5.469813987451076e-01,5.469813987451076e-01,5.469813956316294e-01,5.469813987451076e-01
1.565656565656566e+00,5.547285548821549e-01,5.547285449566370e-01,5.547285416655443e-01,5.547285416655443e-01,5.547285548821549e-01,5.547285416655443e-01
1.578282828282828e+00,5.566131129476584e-01,5.566131189029691e-01,5.566131176492194e-01,5.566131176492194e-01,5.566131129476584e-01,5.566131176492194e-01
1.579071969696970e+00,5.567302320726457e-01,5.567302340577494e-01,5.567302262218140e-01,5.567302262218140e-01,5.567302249262730e-01,5.567302262218140e-01
1.579269255050505e+00,5.567594845587185e-01,5.567594905140292e-01,5.567594902005918e-01,5.567594902005918e-01,5.567594845587185e-01,5.567594902005918e-01
1.579367897727273e+00,5.567741207272727e-01,5.567741246974799e-01,5.567741244362819e-01,5.567741244362819e-01,5.567741207272727e-01,5.567741244362819e-01
1.579466540404040e+00,5.567887449852057e-01,5.567887506093619e-01,5.567887522569533e-01,5.567887522569533e-01,5.567887449852057e-01,5.567887522569533e-01
1.579861111111111e+00,5.568472586918070e-01,5.568472580022447e-01,5.568472580022447e-01,5.568472580022447e-01,5.568472559126619e-01,5.568472580022447e-01
1.581439393939394e+00,5.570810911866139e-01,5.570810859104173e-01,5.570810859104173e-01,5.570810859104173e-01,5.570810911866139e-01,5.570810859104173e-01
