,Domain_1,Domain_2,Domain_3,Domain_4,Domain_5,Domain_6
0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.010101010101010e-01,2.340949850505051e-01,2.340949850505051e-01,2.340949135867769e-01,2.340949850505051e-01,2.340949135867769e-01,2.340949850505051e-01
2.020202020202020e-01,4.510090178879707e-01,4.510090178879707e-01,4.510090178879707e-01,4.510090178879707e-01,4.510090178879707e-01,4.510090178879707e-01
3.030303030303030e-01,6.503167106703399e-01,6.503167106703399e-01,6.503167321094583e-01,6.503167106703399e-01,6.503166392066116e-01,6.503167106703399e-01
4.040404040404040e-01,8.320916684649552e-01,8.320916710376494e-01,8.320916710376494e-01,8.320916684649552e-01,8.320916710376494e-01,8.320916684649552e-01
5.050505050505051e-01,9.968763844384207e-01,9.968764187410103e-01,9.968763801505971e-01,9.968763844384207e-01,9.968763801505971e-01,9.968763844384207e-01
6.060606060606061e-01,1.145595617242388e+00,1.145595614383839e+00,1.145595578651974e+00,1.145595617242388e+00,1.145595578651974e+00,1.145595617242388e+00
7.070707070707071e-01,1.279439033279118e+00,1.279439033279118e+00,1.279439066152433e+00,1.279439033279118e+00,1.279439066152433e+00,1.279439033279118e+00
8.080808080808081e-01,1.399740954686060e+00,1.399740937534766e+00,1.399740927529844e+00,1.399740954686060e+00,1.399740927529844e+00,1.399740954686060e+00
9.090909090909091e-01,1.507876517965106e+00,1.507876517965106e+00,1.507876539404224e+00,1.507876517965106e+00,1.507876517965106e+00,1.507876517965106e+00
1.010101010101010e+00,1.605185031992654e+00,1.605185031992654e+00,1.605185053431772e+00,1.605185031992654e+00,1.605185067724518e+00,1.605185031992654e+00
1.111111111111111e+00,1.692920179235262e+00,1.692920179235262e+00,1.692920157796143e+00,1.692920179235262e+00,1.692920157796143e+00,1.692920179235262e+00
1.212121212121212e+00,1.772223271164004e+00,1.772223256871258e+00,1.772223278310376e+00,1.772223271164004e+00,1.772223299749495e+00,1.772223271164004e+00
1.313131313131313e+00,1.844113473445730e+00,1.844113490597025e+00,1.844113466299357e+00,1.844113473445730e+00,1.844113466299357e+00,1.844113473445730e+00
1.414141414141414e+00,1.909488663507805e+00,1.909488665508790e+00,1.909488663507805e+00,1.909488663507805e+00,1.909488663507805e+00,1.909488663507805e+00
1.439393939393939e+00,1.924908730877649e+00,1.924908749458218e+00,1.924908749458218e+00,1.924908730877649e+00,1.924908749458218e+00,1.924908730877649e+00
1.452020202020202e+00,1.932488156738292e+00,1.932488156738292e+00,1.932488192470156e+00,1.932488156738292e+00,1.932488192470156e+00,1.932488156738292e+00
1.452217487373737e+00,1.932605928962351e+00,1.932605928962351e+00,1.932605857498622e+00,1.932605928962351e+00,1.932605907523232e+00,1.932605928962351e+00
1.452316130050505e+00,1.932664789919148e+00,1.932664779342516e+00,1.932664779342516e+00,1.932664789919148e+00,1.932664800781634e+00,1.932664789919148e+00
1.452414772727273e+00,1.468869972167346e+01,1.932723640013458e+00,1.932723629722681e+00,1.932723646016411e+00,1.932723629722681e+00,1.932723646016411e+00
1.452809343434343e+00,1.469048856312713e+01,1.932959036960441e+00,1.932959025526244e+00,1.932959025526244e+00,1.932958995511478e+00,1.932959025526244e+00
1.453598484848485e+00,1.469406467526171e+01,1.933429584161616e+00,1.933429567010322e+00,1.933429549859027e+00,1.933429552717576e+00,1.933429549859027e+00
1.455176767676768e+00,1.470120930436584e+01,1.934369653774105e+00,1.934369629476437e+00,1.934369644912602e+00,1.934369638052084e+00,1.934369644912602e+00
1.458333333333333e+00,1.471546839058806e+01,1.936245791030303e+00,1.936245798176676e+00,1.936245821045069e+00,1.936245798176676e+00,1.936245821045069e+00
1.464646464646465e+00,1.474386588938109e+01,1.939982343522498e+00,1.939982362103067e+00,1.939982350668871e+00,1.939982362103067e+00,1.939982350668871e+00
