,Domain_1,Domain_2,Domain_3,Domain_4,Domain_5,Domain_6
0.000000000000000e+00,-1.161052369539982e+01,-1.247711179743954e+01,-1.380128715664166e+01,-9.451255062428917e+00,-9.703118080869938e+00,-1.215609658687975e+01
2.004008016032064e-02,-1.161100346791905e+01,-1.247759156995878e+01,-1.380176692916089e+01,-9.451734834948152e+00,-9.703597853389173e+00,-1.215657635939899e+01
4.008016032064128e-02,-1.161243411746290e+01,-1.247902221950262e+01,-1.380319757870474e+01,-9.453165484491997e+00,-9.705028502933018e+00,-1.215800700894283e+01
6.012024048096192e-02,-1.161480252378930e+01,-1.248139062582903e+01,-1.380556598503114e+01,-9.455533890818401e+00,-9.707396909259423e+00,-1.216037541526924e+01
8.016032064128256e-02,-1.161809541918518e+01,-1.248468352122490e+01,-1.380885888042702e+01,-9.458826786214276e+00,-9.710689804655297e+00,-1.216366831066511e+01
1.002004008016032e-01,-1.162229940170926e+01,-1.248888750374899e+01,-1.381306286295110e+01,-9.463030768738360e+00,-9.714893787179381e+00,-1.216787229318919e+01
1.202404809619238e-01,-1.162740094903625e+01,-1.249398905107598e+01,-1.381816441027809e+01,-9.468132316065352e+00,-9.719995334506374e+00,-1.217297384051619e+01
1.402805611222445e-01,-1.163338643283308e+01,-1.249997453487281e+01,-1.382414989407492e+01,-9.474117799862180e+00,-9.725980818303201e+00,-1.217895932431301e+01
1.603206412825651e-01,-1.164024213359222e+01,-1.250683023563194e+01,-1.383100559483406e+01,-9.480973500621317e+00,-9.732836519062339e+00,-1.218581502507215e+01
1.803607214428858e-01,-1.164795425584179e+01,-1.251454235788152e+01,-1.383871771708363e+01,-9.488685622870888e+00,-9.740548641311909e+00,-1.219352714732172e+01
2.004008016032064e-01,-1.165650894364815e+01,-1.252309704568788e+01,-1.384727240488999e+01,-9.497240310677249e+00,-9.749103329118270e+00,-1.220208183512808e+01
2.204408817635271e-01,-1.166589229632359e+01,-1.253248039836332e+01,-1.385665575756544e+01,-9.506623663352695e+00,-9.758486681793716e+00,-1.221146518780353e+01
2.404809619238477e-01,-1.167609038424996e+01,-1.254267848628968e+01,-1.386685384549180e+01,-9.516821751279057e+00,-9.768684769720078e+00,-1.222166327572989e+01
2.605210420841683e-01,-1.168708926472815e+01,-1.255367736676788e+01,-1.387785272596999e+01,-9.527820631757248e+00,-9.779683650198269e+00,-1.223266215620808e+01
2.805611222444890e-01,-1.169887499776426e+01,-1.256546309980398e+01,-1.388963845900610e+01,-9.539606364793357e+00,-9.791469383234379e+00,-1.224444788924419e+01
3.006012024048096e-01,-1.171143366170439e+01,-1.257802176374412e+01,-1.390219712294623e+01,-9.552165028733492e+00,-9.804028047174514e+00,-1.225700655318433e+01
3.206412825651302e-01,-1.172475136863323e+01,-1.259133947067295e+01,-1.391551482987507e+01,-9.565482735662327e+00,-9.817345754103348e+00,-1.227032426011316e+01
3.406813627254509e-01,-1.173881427945507e+01,-1.260540238149480e+01,-1.392957774069692e+01,-9.579545646484174e+00,-9.831408664925195e+00,-1.228438717093501e+01
3.607214428857715e-01,-1.175360861858099e+01,-1.262019672062072e+01,-1.394437207982283e+01,-9.594339985610089e+00,-9.846203004051111e+00,-1.229918151006092e+01
3.807615230460922e-01,-1.176912068815100e+01,-1.263570879019072e+01,-1.395988414939284e+01,-9.609852055180097e+00,-9.861715073621118e+00,-1.231469357963093e+01
4.008016032064128e-01,-1.178533688172682e+01,-1.265192498376655e+01,-1.397610034296866e+01,-9.626068248755921e+00,-9.877931267196942e+00,-1.233090977320676e+01
