,Domain_1,Domain_2,Domain_3,Domain_4,Domain_5,Domain_6,Domain_7,Domain_8
Chain_1,1.342927616233709e+01,1.313277363493711e+01,1.407947054608679e+01,1.272406322478744e+01,1.012279798784110e+01,1.016690379014982e+01,1.453954156854216e+01,1.636349285620548e+01
Chain_2,1.274932083178708e+01,1.458699493210915e+01,1.206888255441939e+01,1.070765525387363e+01,1.142958726979080e+01,1.299250689007683e+01,1.418289134488628e+01,1.167262265057036e+01
Chain_3,9.978603790297505e+00,1.200062362243291e+01,1.182347684739000e+01,1.437716294561228e+01,1.244166913520442e+01,9.935172337929089e+00,1.307211255239535e+01,1.330714469480963e+01
Chain_4,1.007798442093707e+01,1.051879930240700e+01,1.224808592679429e+01,1.296000581963419e+01,1.179916505422837e+01,1.156610507485727e+01,1.088006632288458e+01,1.130069468916454e+01
Chain_5,1.100028842082958e+01,1.368239632583683e+01,1.350069599783654e+01,1.311458406508961e+01,1.323508627621242e+01,1.290805327529631e+01,1.012799355579016e+01,1.425760014048103e+01
Chain_6,1.297237087781671e+01,1.383311747961926e+01,1.141668700464966e+01,1.135643136130799e+01,1.127706309876216e+01,1.029058002352470e+01,1.311406296228046e+01,1.259350142199419e+01
Chain_7,1.087271416282142e+01,8.662321649538269e+00,1.300589544823726e+01,1.128465585673576e+01,1.278233395031007e+01,1.054832589610306e+01,1.171390704251096e+01,1.300270147314900e+01
Chain_8,1.284134008386285e+01,1.128630489921146e+01,1.490387808352286e+01,1.021924600740613e+01,1.653580160315165e+01,1.193191404182606e+01,1.408857839234579e+01,1.391058792657699e+01
Chain_9,1.410659342324953e+01,1.296717594369155e+01,1.493690974182037e+01,1.211289448249141e+01,9.850351988121830e+00,1.021940529598899e+01,1.073902741827519e+01,1.236762602474949e+01
Chain_10,8.372652511847988e+00,1.440561135691883e+01,1.188918411948641e+01,1.444890280124852e+01,1.314142058001381e+01,7.500375083355435e+00,1.399701437526803e+01,1.162895410262481e+01
Chain_11,1.267218274374577e+01,1.417863348191563e+01,9.331849074920624e+00,1.482901299698301e+01,1.073538695357236e+01,9.209335721611360e+00,1.164411698941587e+01,1.361248873545523e+01
Chain_12,1.089764368718484e+01,1.392500165206425e+01,1.037189157705132e+01,1.239193974225109e+01,1.171239022478258e+01,1.396890947179236e+01,1.086507280676154e+01,1.138609571160727e+01
Chain_13,1.144666680737148e+01,1.138231161942336e+01,1.266857113050268e+01,1.253291870817423e+01,1.334203501986420e+01,1.143638091561983e+01,8.875299041653285e+00,1.153983957260466e+01
Chain_14,1.329577859867574e+01,1.178597561706121e+01,1.280523172419239e+01,1.232572728019275e+01,1.387351343346193e+01,1.404020700277750e+01,1.246769283196730e+01,1.399172858400408e+01
Chain_15,1.140790426071049e+01,1.123680612560650e+01,1.112644680887669e+01,1.202742523293065e+01,8.736417142301180e+00,9.033185658593290e+00,1.266145578059484e+01,1.149403903947302e+01
Chain_16,1.420440080295640e+01,9.564956109525335e+00,1.134873631475254e+01,1.001101549317688e+01,1.341867324817798e+01,1.373138082045952e+01,1.284560116866332e+01,1.071696220604649e+01
