,Domain_1,Domain_2,Domain_3,Domain_4,Domain_5,Domain_6,Domain_7,Domain_8
0.000000000000000e+00,-1.342927616233709e+01,-1.313277363493711e+01,-1.407947054608679e+01,-1.272406322478744e+01,-1.012279798784110e+01,-1.016690379014982e+01,-1.453954156854216e+01,-1.636349285620548e+01
2.004008016032064e-02,-1.342975593485633e+01,-1.313325340745635e+01,-1.407995031860602e+01,-1.272454299730668e+01,-1.012327776036033e+01,-1.016738356266905e+01,-1.454002134106139e+01,-1.636397262872471e+01
4.008016032064128e-02,-1.343118658440017e+01,-1.313468405700019e+01,-1.408138096814987e+01,-1.272597364685052e+01,-1.012470840990418e+01,-1.016881421221290e+01,-1.454145199060524e+01,-1.636540327826856e+01
6.012024048096192e-02,-1.343355499072658e+01,-1.313705246332660e+01,-1.408374937447627e+01,-1.272834205317693e+01,-1.012707681623058e+01,-1.017118261853930e+01,-1.454382039693164e+01,-1.636777168459496e+01
8.016032064128256e-02,-1.343684788612245e+01,-1.314034535872247e+01,-1.408704226987215e+01,-1.273163494857280e+01,-1.013036971162646e+01,-1.017447551393517e+01,-1.454711329232751e+01,-1.637106457999084e+01
1.002004008016032e-01,-1.344105186864653e+01,-1.314454934124655e+01,-1.409124625239623e+01,-1.273583893109689e+01,-1.013457369415054e+01,-1.017867949645926e+01,-1.455131727485160e+01,-1.637526856251492e+01
1.202404809619238e-01,-1.344615341597353e+01,-1.314965088857355e+01,-1.409634779972322e+01,-1.274094047842388e+01,-1.013967524147753e+01,-1.018378104378625e+01,-1.455641882217859e+01,-1.638037010984191e+01
1.402805611222445e-01,-1.345213889977035e+01,-1.315563637237037e+01,-1.410233328352005e+01,-1.274692596222071e+01,-1.014566072527436e+01,-1.018976652758308e+01,-1.456240430597542e+01,-1.638635559363874e+01
1.603206412825651e-01,-1.345899460052949e+01,-1.316249207312951e+01,-1.410918898427919e+01,-1.275378166297984e+01,-1.015251642603350e+01,-1.019662222834222e+01,-1.456926000673456e+01,-1.639321129439788e+01
1.803607214428858e-01,-1.346670672277906e+01,-1.317020419537908e+01,-1.411690110652876e+01,-1.276149378522941e+01,-1.016022854828307e+01,-1.020433435059179e+01,-1.457697212898413e+01,-1.640092341664745e+01
2.004008016032064e-01,-1.347526141058542e+01,-1.317875888318544e+01,-1.412545579433512e+01,-1.277004847303578e+01,-1.016878323608943e+01,-1.021288903839815e+01,-1.458552681679049e+01,-1.640947810445381e+01
2.204408817635271e-01,-1.348464476326087e+01,-1.318814223586089e+01,-1.413483914701057e+01,-1.277943182571122e+01,-1.017816658876487e+01,-1.022227239107359e+01,-1.459491016946593e+01,-1.641886145712925e+01
2.404809619238477e-01,-1.349484285118723e+01,-1.319834032378725e+01,-1.414503723493693e+01,-1.278962991363758e+01,-1.018836467669124e+01,-1.023247047899996e+01,-1.460510825739230e+01,-1.642905954505562e+01
2.605210420841683e-01,-1.350584173166542e+01,-1.320933920426544e+01,-1.415603611541512e+01,-1.280062879411577e+01,-1.019936355716943e+01,-1.024346935947815e+01,-1.461610713787049e+01,-1.644005842553381e+01
2.805611222444890e-01,-1.351762746470153e+01,-1.322112493730155e+01,-1.416782184845123e+01,-1.281241452715188e+01,-1.021114929020554e+01,-1.025525509251426e+01,-1.462789287090660e+01,-1.645184415856992e+01
3.006012024048096e-01,-1.353018612864167e+01,-1.323368360124169e+01,-1.418038051239136e+01,-1.282497319109202e+01,-1.022370795414567e+01,-1.026781375645439e+01,-1.464045153484673e+01,-1.646440282251005e+01
3.206412825651302e-01,-1.354350383557050e+01,-1.324700130817052e+01,-1.419369821932020e+01,-1.283829089802085e+01,-1.023702566107451e+01,-1.028113146338323e+01,-1.465376924177557e+01,-1.647772052943889e+01
3.406813627254509e-01,-1.355756674639235e+01,-1.326106421899237e+01,-1.420776113014205e+01,-1.285235380884270e+01,-1.025108857189635e+01,-1.029519437420507e+01,-1.466783215259741e+01,-1.649178344026073e+01
3.607214428857715e-01,-1.357236108551826e+01,-1.327585855811828e+01,-1.422255546926796e+01,-1.286714814796862e+01,-1.026588291102227e+01,-1.030998871333099e+01,-1.468262649172333e+01,-1.650657777938665e+01
3.807615230460922e-01,-1.358787315508827e+01,-1.329137062768829e+01,-1.423806753883797e+01,-1.288266021753862e+01,-1.028139498059228e+01,-1.032550078290100e+01,-1.469813856129334e+01,-1.652208984895666e+01
4.008016032064128e-01,-1.360408934866410e+01,-1.330758682126412e+01,-1.425428373241379e+01,-1.289887641111445e+01,-1.029761117416810e+01,-1.034171697647682e+01,-1.471435475486916e+01,-1.653830604253248e+01
4.208416833667334e-01,-1.362099616433460e+01,-1.332449363693462e+01,-1.427119054808429e+01,-1.291578322678495e+01,-1.031451798983860e+01,-1.035862379214732e+01,-1.473126157053966e+01,-1.655521285820298e+01
4.408817635270541e-01,-1.363858021718336e+01,-1.334207768978338e+01,-1.428877460093306e+01,-1.293336727963371e+01,-1.033210204268736e+01,-1.037620784499608e+01,-1.474884562338842e+01,-1.657279691105174e+01
4.609218436873747e-01,-1.365682825107542e+01,-1.336032572367544e+01,-1.430702263482512e+01,-1.295161531352578e+01,-1.035035007657943e+01,-1.039445587888815e+01,-1.476709365728049e+01,-1.659104494494381e+01
4.809619238476954e-01,-1.367572714972777e+01,-1.337922462232779e+01,-1.432592153347747e+01,-1.297051421217813e+01,-1.036924897523178e+01,-1.041335477754050e+01,-1.478599255593284e+01,-1.660994384359616e+01
5.010020040080160e-01,-1.369526394703589e+01,-1.339876141963591e+01,-1.434545833078558e+01,-1.299005100948624e+01,-1.038878577253989e+01,-1.043289157484861e+01,-1.480552935324095e+01,-1.662948064090427e+01
5.210420841683366e-01,-1.371542583663615e+01,-1.341892330923617e+01,-1.436562022038584e+01,-1.301021289908650e+01,-1.040894766214015e+01,-1.045305346444887e+01,-1.482569124284121e+01,-1.664964253050453e+01
5.410821643286573e-01,-1.373620018069120e+01,-1.343969765329122e+01,-1.438639456444090e+01,-1.303098724314156e+01,-1.042972200619521e+01,-1.047382780850393e+01,-1.484646558689627e+01,-1.667041687455959e+01
5.611222444889780e-01,-1.375757451789237e+01,-1.346107199049239e+01,-1.440776890164206e+01,-1.305236158034272e+01,-1.045109634339637e+01,-1.049520214570509e+01,-1.486783992409743e+01,-1.669179121176075e+01
5.811623246492986e-01,-1.377953657067951e+01,-1.348303404327953e+01,-1.442973095442921e+01,-1.307432363312986e+01,-1.047305839618351e+01,-1.051716419849223e+01,-1.488980197688457e+01,-1.671375326454789e+01
6.012024048096192e-01,-1.380207425168518e+01,-1.350557172428520e+01,-1.445226863543488e+01,-1.309686131413553e+01,-1.049559607718918e+01,-1.053970187949790e+01,-1.491233965789024e+01,-1.673629094555356e+01
