,Domain_1,Domain_2,Domain_3,Domain_4,Domain_5,Domain_6,Domain_7,Domain_8,Domain_9,Domain_10
0.0,-12.333081654715734,-11.761879165999959,-10.321136996288285,-11.312026422719558,-12.411146314349194,-12.679714593479773,-11.641895199779642,-12.622544414025244,-11.823827742245573,-13.559334240977448
0.10101010101010101,-12.3450461754524,-11.773843686736624,-10.33310151702495,-11.323990943456224,-12.42311083508586,-12.691679114216438,-11.653859720516307,-12.634508934761909,-11.835792262982238,-13.571298761714113
0.20202020202020202,-12.37979456408073,-11.808592075364954,-10.36784990565328,-11.358739332084554,-12.45785922371419,-12.726427502844768,-11.688608109144637,-12.669257323390239,-11.870540651610568,-13.606047150342443
0.30303030303030304,-12.43556573798037,-11.864363249264596,-10.423621079552921,-11.414510505984195,-12.51363039761383,-12.78219867674441,-11.744379283044278,-12.72502849728988,-11.92631182551021,-13.661818324242084
0.40404040404040403,-12.510580819893406,-11.939378331177629,-10.498636161465956,-11.48952558789723,-12.588645479526864,-12.857213758657444,-11.819394364957311,-12.800043579202914,-12.001326907423245,-13.736833406155117
0.5050505050505051,-12.603092574123199,-12.031890085407424,-10.59114791569575,-11.582037342127023,-12.68115723375666,-12.949725512887237,-11.911906119187107,-12.892555333432709,-12.093838661653038,-13.829345160384912
0.6060606060606061,-12.711428769278857,-12.140226280563082,-10.699484110851408,-11.690373537282682,-12.789493428912317,-13.058061708042896,-12.020242314342765,-13.000891528588367,-12.202174856808696,-13.93768135554057
0.7070707070707071,-12.834025005375718,-12.262822516659943,-10.822080346948269,-11.812969773379542,-12.912089665009178,-13.180657944139757,-12.142838550439626,-13.123487764685228,-12.324771092905557,-14.060277591637432
0.8080808080808081,-12.969445320811614,-12.398242832095839,-10.957500662384165,-11.948390088815438,-13.047509980445074,-13.316078259575653,-12.278258865875522,-13.258908080121124,-12.460191408341453,-14.195697907073328
0.9090909090909091,-13.116391360741806,-12.545188872026031,-11.104446702314357,-12.09533612874563,-13.194456020375267,-13.463024299505845,-12.425204905805714,-13.405854120051316,-12.607137448271645,-14.34264394700352
1.0101010101010102,-13.273702394282664,-12.702499905566889,-11.261757735855214,-12.252647162286488,-13.351767053916124,-13.620335333046702,-12.582515939346571,-13.563165153592173,-12.764448481812503,-14.499954980544377
1.1111111111111112,-13.440348960112333,-12.869146471396558,-11.428404301684884,-12.419293728116157,-13.518413619745793,-13.786981898876371,-12.74916250517624,-13.729811719421843,-12.931095047642172,-14.666601546374046
1.2121212121212122,-13.61542270305686,-13.044220214341085,-11.60347804462941,-12.594367471060684,-13.69348736269032,-13.962055641820898,-12.924236248120767,-13.90488546236637,-13.106168790586699,-14.841675289318573
1.3131313131313131,-13.798124411041812,-13.226921922326037,-11.786179752614363,-12.777069179045636,-13.876189070675272,-14.14475734980585,-13.10693795610572,-14.087587170351322,-13.28887049857165,-15.024376997303525
1.3636363636363638,-13.892112791617874,-13.3209103029021,-11.880168133190425,-12.871057559621699,-13.970177451251335,-14.238745730381913,-13.200926336681782,-14.181575550927384,-13.382858879147713,-15.118365377879588
1.3652146464646466,-13.895076923760852,-13.323874435045077,-11.883132265333403,-12.874021691764677,-13.973141583394312,-14.24170986252489,-13.20389046882476,-14.184539683070362,-13.385823011290691,-15.121329510022566
1.366003787878788,-13.896559593370151,-13.325357104654376,-11.884614934942702,-12.875504361373975,-13.974624253003611,-14.24319253213419,-13.205373138434059,-14.186022352679661,-13.38730568089999,-15.122812179631865
1.3661024305555558,-13.896744955340672,-13.325542466624897,-11.883841085878572,-12.875689723344497,-13.974809614974133,-14.243377894104711,-13.20555850040458,-14.186207714650182,-13.387491042870511,-15.122997541602386
1.3662010732323235,-13.896930323591365,-13.32572783487559,-11.885249883454794,-12.875875091595189,-13.974994983224825,-14.243563262355403,-13.205743868655272,-14.186393082900874,-13.387676411121204,-15.123182909853078
1.3663983585858588,-13.89730107893098,-13.326098590215205,-11.888067624035866,-12.876245846934804,-13.97536573856444,-14.243934017695018,-13.206114623994887,-14.18676383824049,-13.388047166460819,-15.123553665192693
1.3667929292929295,-13.898042664947113,-13.326840176231336,-11.89370367775847,-12.876987432950937,-13.976107324580571,-14.244675603711151,-13.206856210011019,-14.18750542425662,-13.388788752476952,-15.124295251208824
1.369949494949495,-13.903978965080144,-13.33277647636437,-11.93881955876951,-12.882923733083969,-13.982043624713604,-14.250611903844183,-13.212792510144052,-14.193441724389654,-13.394725052609983,-15.130231551341858
1.3762626262626263,-13.915870771065117,-13.344668282349343,-12.02919728425531,-12.894815539068942,-13.993935430698578,-14.262503709829156,-13.224684316129025,-14.205333530374627,-13.406616858594957,-15.142123357326831
1.3888888888888888,-13.939730687231691,-13.368528198515918,-12.210532647121273,-12.918675455235515,-14.017795346865153,-14.28636362599573,-13.2485442322956,-14.229193446541203,-13.43047677476153,-15.165983273493406
1.4141414141414141,-13.98775164857673,-13.416549159860956,-12.575491953343565,-12.966696416580554,-14.065816308210191,-14.334384587340768,-13.296565193640639,-14.277214407886241,-13.478497736106569,-15.214004234838445
1.4393939393939394,-14.036166497849823,-13.464964009134047,-12.943444807819068,-13.015111265853648,-14.114231157483282,-14.382799436613862,-13.344980042913729,-14.325629257159331,-13.526912585379662,-15.262419084111535
1.4425505050505052,-14.042245603431581,-13.471043114715807,-12.989646010240437,-13.021190371435406,-14.120310263065042,-14.38887854219562,-13.351059148495489,-14.331708362741091,-13.53299169096142,-15.268498189693295
1.444128787878788,-14.045287406605683,-13.474084917889908,-13.012763714363599,-13.024232174609507,-14.123352066239143,-14.391920345369721,-13.35410095166959,-14.334750165915192,-13.536033494135522,-15.271539992867396
1.4449179292929295,-14.046808869858047,-13.475606381142272,-13.024326835081574,-13.025753637861872,-14.124873529491508,-14.393441808622086,-13.355622414921955,-14.336271629167557,-13.537554957387886,-15.27306145611976
1.4450165719696972,-14.046999079073217,-13.475796590357442,-13.025772425116864,-13.025943847077041,-14.125063738706677,-14.393632017837255,-13.355812624137124,-14.336461838382727,-13.537745166603056,-15.27325166533493
1.4451152146464648,-14.047189294133021,-13.475986805417246,-13.027218059571377,-13.027218059571377,-14.125253953766482,-14.39382223289706,-13.356002839196929,-14.336652053442531,-13.53793538166286,-15.273441880394735
1.4453125,-14.047569741784462,-13.476367253068688,-13.030109461722333,-13.030109461722333,-14.125634401417923,-14.394202680548501,-13.35638328684837,-14.337032501093972,-13.538315829314302,-15.273822328046176
1.4457070707070707,-14.048330707200185,-13.47712821848441,-13.035892798881823,-13.035892798881823,-14.126395366833645,-14.394963645964223,-13.357144252264092,-14.337793466509694,-13.539076794730024,-15.274583293461898
1.452020202020202,-14.060518841424429,-13.489316352708654,-13.128522618986077,-13.128522618986077,-14.138583501057889,-14.407151780188467,-13.369332386488336,-14.349981600733939,-13.551264928954268,-15.286771427686142
1.4646464646464645,-14.084966345256012,-13.513763856540237,-13.31432364810611,-13.31432364810611,-14.163031004889472,-14.43159928402005,-13.39377989031992,-14.374429104565522,-13.575712432785851,-15.311218931517725
1.4709595959595958,-14.097225447900868,-13.526022959185093,-13.407492828207019,-13.407492828207019,-14.175290107534328,-14.443858386664907,-13.40603899526419,-14.386688207210378,-13.587971535430707,-15.323478034162582
1.4710582386363633,-14.097417182318726,-13.52621469360295,-13.408950009782728,-13.408950009782728,-14.175481841952186,-14.444050121082764,-13.408950009782728,-14.386879941628235,-13.588163269848565,-15.323669768580439
1.471156881313131,-14.097608922446735,-13.526406433730962,-13.410407234755613,-13.410407234755613,-14.175673582080197,-14.444241861210774,-13.410407234755613,-14.387071681756247,-13.588355009976574,-15.32386150870845
1.4713541666666665,-14.097992419831217,-13.526789931115442,-13.413321814877659,-13.413321814877659,-14.176057079464677,-14.444625358595255,-13.413321814877659,-14.387455179140726,-13.588738507361056,-15.32424500609293
1.471748737373737,-14.098759483099979,-13.527556994384204,-13.419151495720255,-13.419151495720255,-14.17682414273344,-14.445392421864018,-13.419151495720255,-14.388222242409489,-13.589505570629818,-15.325012069361692
