,Domain_1,Domain_2,Domain_3,Domain_4,Domain_5,Domain_6,Domain_7,Domain_8,Domain_9,Domain_10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.10101010101010101,0.23409498505050505,0.23409498505050505,0.23409498505050505,0.23409498505050505,0.23409498505050505,0.23409498505050505,0.23409498505050505,0.23409498505050505,0.23409498505050505,0.23409498505050505
0.20202020202020202,0.45100901788797065,0.45100901788797065,0.45100901788797065,0.45100901788797065,0.45100901788797065,0.45100901788797065,0.45100901788797065,0.45100901788797065,0.45100901788797065,0.45100901788797065
0.30303030303030304,0.6503167106703399,0.6503167106703399,0.6503167106703399,0.6503167106703399,0.6503167106703399,0.6503167106703399,0.6503167106703399,0.6503167106703399,0.6503167106703399,0.6503167106703399
0.40404040404040403,0.8320916684649552,0.8320916710376494,0.8320916684649552,0.8320916684649552,0.8320916710376494,0.8320916684649552,0.8320916710376494,0.8320916710376494,0.8320916684649552,0.8320916710376494
0.5050505050505051,0.9968763844384207,0.9968764187410103,0.9968763844384207,0.9968763844384207,0.9968764187410103,0.9968763844384207,0.9968764187410103,0.9968764187410103,0.9968763844384207,0.9968764187410103
0.6060606060606061,1.1455956172423878,1.1455956143838386,1.1455956172423878,1.1455956172423878,1.1455956143838386,1.1455956172423878,1.1455956143838386,1.1455956143838386,1.1455956172423878,1.1455956143838386
0.7070707070707071,1.2794390332791183,1.2794390332791183,1.2794390332791183,1.2794390332791183,1.2794390332791183,1.2794390332791183,1.2794390332791183,1.2794390332791183,1.2794390332791183,1.2794390332791183
0.8080808080808081,1.3997409546860604,1.3997409375347658,1.3997409546860604,1.3997409546860604,1.3997409375347658,1.3997409546860604,1.3997409375347658,1.3997409375347658,1.3997409546860604,1.3997409375347658
0.9090909090909091,1.507876517965106,1.507876517965106,1.507876517965106,1.507876517965106,1.507876517965106,1.507876517965106,1.507876517965106,1.507876517965106,1.507876517965106,1.507876517965106
1.0101010101010102,1.605185031992654,1.605185031992654,1.605185031992654,1.605185031992654,1.605185031992654,1.605185031992654,1.605185031992654,1.605185031992654,1.605185031992654,1.605185031992654
1.1111111111111112,1.6929201792352615,1.6929201792352615,1.6929201792352615,1.6929201792352615,1.6929201792352615,1.6929201792352615,1.6929201792352615,1.6929201792352615,1.6929201792352615,1.6929201792352615
1.2121212121212122,1.7722232711640036,1.772223256871258,1.7722232711640036,1.7722232711640036,1.772223256871258,1.7722232711640036,1.772223256871258,1.772223256871258,1.7722232711640036,1.772223256871258
1.3131313131313131,1.84411347344573,1.844113490597025,1.84411347344573,1.84411347344573,1.844113490597025,1.84411347344573,1.844113490597025,1.844113490597025,1.84411347344573,1.844113490597025
1.3636363636363638,1.8775638777427215,1.8775638660226701,1.8775638777427215,1.8775638777427215,1.8775638660226701,1.8775638777427215,1.8775638660226701,1.8775638660226701,1.8775638777427215,1.8775638660226701
1.3652146464646466,1.8785841165089145,1.8785841125069458,1.8785841165089145,1.8785841165089145,1.8785841125069458,1.8785841165089145,1.8785841125069458,1.8785841125069458,1.8785841165089145,1.8785841125069458
1.366003787878788,1.8790936806188427,1.8790936749017446,1.8790936806188427,1.8790936806188427,1.8790936749017446,1.8790936806188427,1.8790936749017446,1.8790936749017446,1.8790936806188427,1.8790936749017446
1.3661024305555558,1.8791573247858953,1.8791573342191075,14.281566631516622,1.8791573247858953,1.8791573342191075,1.8791573247858953,1.8791573342191075,1.8791573342191075,1.8791573247858953,1.8791573342191075
1.3662010732323235,1.8792210018262625,1.879221023265381,14.282079648468041,1.8792210018262625,1.879221023265381,1.8792210018262625,1.879221023265381,1.879221023265381,1.8792210018262625,1.879221023265381
1.3663983585858588,1.8793483216044078,1.8793482930189165,14.283047191310338,1.8793483216044078,1.8793482930189165,1.8793483216044078,1.8793482930189165,1.8793482930189165,1.8793483216044078,1.8793482930189165
1.3667929292929295,1.8796028682578514,1.8796028896969699,14.284981817340238,1.8796028682578514,1.8796028896969699,1.8796028682578514,1.8796028896969699,1.8796028896969699,1.8796028682578514,1.8796028896969699
1.369949494949495,1.8816359132766503,1.8816359027000182,14.300432940273662,1.8816359132766503,1.8816359027000182,1.8816359132766503,1.8816359027000182,1.8816359027000182,1.8816359132766503,1.8816359027000182
1.3762626262626263,1.885684295745822,1.8856842743067035,14.331200663390266,1.885684295745822,1.8856842743067035,1.885684295745822,1.8856842743067035,1.8856842743067035,1.885684295745822,1.8856842743067035
1.3888888888888888,1.893710901597796,1.8937109104592984,14.392202923606979,1.893710901597796,1.8937109104592984,1.893710901597796,1.8937109104592984,1.8937109104592984,1.893710901597796,1.8937109104592984
1.4141414141414141,1.9094886635078052,1.9094886655087897,14.512113772624868,1.9094886635078052,1.9094886655087897,1.9094886635078052,1.9094886655087897,1.9094886655087897,1.9094886635078052,1.9094886655087897
1.4393939393939394,1.9249087308776491,1.9249087494582184,14.629306425848009,1.9249087308776491,1.9249087494582184,1.9249087308776491,1.9249087494582184,1.9249087494582184,1.9249087308776491,1.9249087494582184
1.4425505050505052,1.9268116427342514,1.9268116427342514,14.643768571108495,1.9268116427342514,1.9268116427342514,1.9268116427342514,1.9268116427342514,1.9268116427342514,1.9268116427342514,1.9268116427342514
1.444128787878788,1.9277610952483968,1.9277611026806245,14.65098433320669,1.9277610952483968,1.9277611026806245,1.9277610952483968,1.9277611026806245,1.9277611026806245,1.9277610952483968,1.9277611026806245
1.4449179292929295,1.9282353002490358,1.9282353002490356,14.654588347925161,1.9282353002490358,1.9282353002490356,1.9282353002490358,1.9282353002490356,1.9282353002490356,1.9282353002490358,1.9282353002490356
1.4450165719696972,1.928294557972452,1.9282945651188248,14.65503862629789,1.928294557972452,1.9282945651188248,1.928294557972452,1.9282945651188248,1.9282945651188248,1.928294557972452,1.9282945651188248
1.4451152146464648,1.9283538128373185,1.9283538071202204,14.65548895641036,14.65548895641036,1.9283538071202204,1.9283538128373185,1.9283538071202204,1.9283538071202204,1.9283538128373185,1.9283538071202204
