,Domain_1,Domain_2,Domain_3,Domain_4,Domain_5,Domain_6,Domain_7,Domain_8,Domain_9,Domain_10
Chain_1,6.276494544513529e+00,4.101592074045669e+00,5.110438077318138e+00,5.306508483178582e+00,4.813036918111737e+00,2.976242689239781e+00,4.788166589924760e+00,6.435633880370950e+00,5.519160836538071e+00,4.726866393852348e+00
Chain_2,5.244024375446547e+00,3.615956253231896e+00,5.155247003342428e+00,5.617598684639154e+00,4.576808067072592e+00,5.034713760554522e+00,5.544033465938012e+00,5.342957816090641e+00,7.497528683105610e+00,4.967562192520964e+00
Chain_3,4.670264657123095e+00,6.354751779583327e+00,4.905577754169109e+00,4.789758563012907e+00,4.730796054086639e+00,3.635524586716810e+00,4.198112211744062e+00,4.076539434161514e+00,3.886583632465505e+00,4.326372075854548e+00
Chain_4,6.285358017767733e+00,4.565299529841112e+00,5.138799237460960e+00,5.326717511690071e+00,6.103851527825903e+00,4.429588155170781e+00,6.205331491435637e+00,6.527961893251423e+00,6.488979768317302e+00,6.089662209549609e+00
Chain_5,5.758300915522296e+00,4.086574109734823e+00,6.037478561225569e+00,4.277131324656188e+00,5.128149312929368e+00,5.901840532410260e+00,5.902984977404001e+00,4.390784678219147e+00,5.378438013264736e+00,5.362908132442366e+00
Chain_6,4.687197995470910e+00,5.463241008718474e+00,5.269961616371368e+00,4.256056579337697e+00,4.834966253736062e+00,6.759109721773184e+00,4.557767178842196e+00,4.422326249031925e+00,6.143047318536488e+00,4.976209353976758e+00
Chain_7,5.012938711025539e+00,4.527162633837607e+00,5.876294651847525e+00,4.378598275911889e+00,5.140446448696016e+00,4.006735974219255e+00,2.801953088386807e+00,4.918627749798866e+00,6.453965333506333e+00,6.703012302907996e+00
Chain_8,6.078049229667045e+00,5.983934076945401e+00,6.402096989278076e+00,5.679860891763677e+00,5.919681141154133e+00,4.444979260205172e+00,5.953897687496173e+00,4.595471111319934e+00,5.024566549074856e+00,5.387181065902003e+00
Chain_9,6.355399237533753e+00,5.934007488001735e+00,3.818206731421669e+00,4.536116189786283e+00,4.955488795100002e+00,5.524758537732964e+00,3.790821748009129e+00,5.319513536688620e+00,4.671161406800573e+00,4.907309734065553e+00
Chain_10,6.751776520142989e+00,6.108595040407846e+00,5.058740255496792e+00,5.910209820267412e+00,4.427821283930699e+00,4.790020706495942e+00,7.546854314730511e+00,3.337716169295057e+00,4.585421013441287e+00,6.843424392368876e+00
