,Domain_1,Domain_2,Domain_3,Domain_4,Domain_5,Domain_6,Domain_7,Domain_8,Domain_9,Domain_10
0.000000000000000e+00,-7.115116717508347e+00,-8.142962538493354e+00,-1.035451422140462e+01,-1.328593529391547e+01,-9.452575809232599e+00,-1.591712001823108e+01,-1.720972315567151e+01,-1.358207843611894e+01,-1.091769334999156e+01,-1.384859671892954e+01
1.010101010101010e-01,-7.126844537415783e+00,-8.155544364139629e+00,-1.036893355788217e+01,-1.330279025874093e+01,-9.466245752596565e+00,-1.593616115418127e+01,-1.722983827613852e+01,-1.359917945724760e+01,-1.093258061482761e+01,-1.386591918196940e+01
2.020202020202020e-01,-7.160905479168158e+00,-8.192085582700170e+00,-1.041081143320309e+01,-1.335174189507997e+01,-9.505947176079641e+00,-1.599146205644763e+01,-1.728825833647168e+01,-1.364884571143350e+01,-1.097581748787267e+01,-1.391622856677112e+01
3.030303030303030e-01,-7.215573300631068e+00,-8.250734249164758e+00,-1.047802543532710e+01,-1.343030928570454e+01,-9.569667972368094e+00,-1.608022002074039e+01,-1.738202255037287e+01,-1.372856006391106e+01,-1.104521268174092e+01,-1.399697514407493e+01
4.040404040404040e-01,-7.289104317073840e+00,-8.329619705778027e+00,-1.056843170656874e+01,-1.353598644527090e+01,-9.655375703063232e+00,-1.619960402319722e+01,-1.750814021465166e+01,-1.383577994584342e+01,-1.113855276745913e+01,-1.410558342120287e+01
5.050505050505051e-01,-7.379785859344326e+00,-8.426904568880255e+00,-1.067992452284847e+01,-1.366631196334258e+01,-9.761074081515369e+00,-1.634683339644592e+01,-1.766367382288422e+01,-1.396800801402540e+01,-1.125366368715074e+01,-1.423952371673743e+01
6.060606060606061e-01,-7.485978778743831e+00,-8.540830328936160e+00,-1.081048855337081e+01,-1.381893009146180e+01,-9.884852516493305e+00,-1.651924683996681e+01,-1.784581196819375e+01,-1.412285412973126e+01,-1.138846470961629e+01,-1.439637494193629e+01
7.070707070707071e-01,-7.606149624690665e+00,-8.669751871337207e+00,-1.095823842301204e+01,-1.399163698817975e+01,-1.002492361845929e+01,-1.671435466332897e+01,-1.805192453318211e+01,-1.429808227885061e+01,-1.154100927657787e+01,-1.457387212843922e+01
8.080808080808081e-01,-7.738890844017016e+00,-8.812159146586978e+00,-1.112144354732449e+01,-1.418240974904185e+01,-1.017964674386341e+01,-1.692987158150613e+01,-1.827959733501244e+01,-1.449164002566627e+01,-1.170951064361534e+01,-1.476993626344430e+01
9.090909090909091e-01,-7.882929767960788e+00,-8.966686811714954e+00,-1.129853918202919e+01,-1.438941932249469e+01,-1.034753847037855e+01,-1.716373130603974e+01,-1.852664753956329e+01,-1.470167161731352e+01,-1.189235328823095e+01,-1.498268756385738e+01
1.010101010101010e+00,-8.037128629028919e+00,-9.132114248367794e+00,-1.148812644374923e+01,-1.461103053412169e+01,-1.052727261655630e+01,-1.741408657241806e+01,-1.879112369035195e+01,-1.492651800836941e+01,-1.208809293125562e+01,-1.521044550119983e+01
1.111111111111111e+00,-8.200478332310704e+00,-9.307358880557185e+00,-1.168896465184918e+01,-1.484579313491155e+01,-1.071767298167164e+01,-1.767929902726144e+01,-1.907129502532276e+01,-1.516470777843997e+01,-1.229544863016987e+01,-1.545171960158715e+01
1.161616161616162e+00,-8.285302182828172e+00,-9.398359501838872e+00,-1.179325544515829e+01,-1.496770010723178e+01,-1.081654363637467e+01,-1.781701792832487e+01,-1.921678173854836e+01,-1.528839440318028e+01,-1.240312381081165e+01,-1.557700785013502e+01
