,Domain_1,Domain_2,Domain_3,Domain_4,Domain_5,Domain_6,Domain_7,Domain_8,Domain_9,Domain_10
0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.010101010101010e-01,2.849931370741762e-01,3.872974614164040e-01,3.344716136778741e-01,2.930331684734349e-01,3.181744845700440e-01,3.360013294398884e-01,3.406232679563331e-01,2.214525179168997e-01,2.726302994197461e-01,4.530208956420040e-01
2.020202020202020e-01,5.490698907422807e-01,7.461699784239643e-01,6.443954164776372e-01,5.645597289445231e-01,6.129971712658123e-01,6.473424943754765e-01,6.562472157938026e-01,4.266520094601831e-01,5.252514279122374e-01,8.727932031637166e-01
3.030303030303030e-01,7.917120953855643e-01,1.075913672256964e+00,9.291633496971550e-01,8.140472175184518e-01,8.838898416250810e-01,9.334129076801712e-01,9.462526411399325e-01,6.151959931791497e-01,7.573679365837658e-01,1.258493736005510e+00
4.040404040404040e-01,1.013009572132149e+00,1.376650540374589e+00,1.188880873241174e+00,1.041587702151480e+00,1.130952622165664e+00,1.194318249693781e+00,1.210746916982717e+00,7.871540851210803e-01,9.690656147684370e-01,1.610264803373018e+00
5.050505050505051e-01,1.213622692148294e+00,1.649277958396348e+00,1.424322973562529e+00,1.247860342062722e+00,1.354922800103426e+00,1.430837107389224e+00,1.450519304284987e+00,9.430394946908559e-01,1.160976214613836e+00,1.929156389697932e+00
6.060606060606061e-01,1.394677246046298e+00,1.895325832246444e+00,1.636810902103134e+00,1.434022630574506e+00,1.557057248869848e+00,1.644296831072217e+00,1.666915298224182e+00,1.083727052346454e+00,1.334176647270190e+00,2.216958001525760e+00
7.070707070707071e-01,1.557621619548416e+00,2.116762482472302e+00,1.828044525049359e+00,1.601563854770908e+00,1.738972988079866e+00,1.836405104293714e+00,1.861666103100971e+00,1.210342170710239e+00,1.490052603138889e+00,2.475971958925927e+00
8.080808080808081e-01,1.704080234206403e+00,2.315795530505273e+00,1.999930164948815e+00,1.752154272736053e+00,1.902483549965552e+00,2.009076883992626e+00,2.036713129340482e+00,1.324147125380188e+00,1.630157909504345e+00,2.708780381664576e+00
9.090909090909091e-01,1.835727282799656e+00,2.494699963747327e+00,2.154432778082333e+00,1.887515171057723e+00,2.049457948452303e+00,2.164286070156048e+00,2.194057353481586e+00,1.426442770521464e+00,1.756094121175764e+00,2.918044422882981e+00
1.010101010101010e+00,1.954193079651122e+00,2.655691577761451e+00,2.293465774141469e+00,2.009323060969266e+00,2.181716568836716e+00,2.303955008648323e+00,2.335647509636375e+00,1.518496070654386e+00,1.869420931771899e+00,3.106355973951830e+00
1.111111111111111e+00,2.061004061935169e+00,2.800844598878080e+00,2.418820489277120e+00,2.119147293683211e+00,2.300963443113336e+00,2.429882996342684e+00,2.463307774244521e+00,1.601493004305736e+00,1.971598519721068e+00,3.276141108589465e+00
1.136363636363636e+00,2.086051853894866e+00,2.834883776661036e+00,2.448216914010164e+00,2.144901677534981e+00,2.328927437728103e+00,2.459413790842202e+00,2.493244785935936e+00,1.620956242328138e+00,1.995559695142599e+00,3.315956636656577e+00
1.142676767676768e+00,2.092215995607448e+00,2.843260743623937e+00,2.455451270562435e+00,2.151239789974155e+00,2.335809278106658e+00,2.466681266657436e+00,2.500612231077017e+00,1.625746088937027e+00,2.001456522279047e+00,3.325755164562292e+00
1.144255050505051e+00,2.093751067262381e+00,2.845346805303496e+00,2.457252754401102e+00,2.152818120402263e+00,2.337523084504127e+00,2.468491022133730e+00,2.502446898100914e+00,1.626938877941041e+00,2.002924912057633e+00,3.328195228341133e+00
1.145044191919192e+00,2.094517690773360e+00,2.846388635143192e+00,2.458152458200954e+00,2.153606359797851e+00,2.338378964738439e+00,2.469394872904772e+00,2.503363164918425e+00,1.627534597436480e+00,2.003658304025616e+00,3.329413828941687e+00
1.145438762626263e+00,2.094900760566651e+00,2.846909248195872e+00,2.458602066166077e+00,2.154000272308076e+00,2.338806629053757e+00,2.469846485897750e+00,2.503820971207553e+00,1.627832247593119e+00,2.004024751847727e+00,3.330022801369627e+00
1.145636047979798e+00,2.095092212164834e+00,2.847169393007660e+00,2.458826802368282e+00,2.154197100498432e+00,2.339020376717211e+00,2.470072222246213e+00,2.504049879092981e+00,1.627981032602555e+00,2.004207951473828e+00,3.330327137518950e+00
1.145734690656566e+00,2.095187965730080e+00,2.847299519318404e+00,2.458939152034616e+00,2.154295526339677e+00,2.339127269856839e+00,2.470185085743909e+00,2.504164276145326e+00,1.628055420175718e+00,2.004299523966305e+00,3.330479237497048e+00
1.145833333333333e+00,2.095283682802666e+00,2.847429645629148e+00,2.459051445838019e+00,2.154393950549523e+00,2.339234125797760e+00,2.470297958594676e+00,2.504278625789028e+00,1.139686849535824e+01,2.004391066102589e+00,3.330631471146177e+00
1.148989898989899e+00,2.098341716896129e+00,2.851585440130748e+00,2.462640490238233e+00,2.157538313273706e+00,2.342648269118281e+00,2.473903380082364e+00,2.507933699317409e+00,1.141354254336297e+01,2.007316489407875e+00,3.335492519055818e+00
1.161616161616162e+00,2.110478985048385e+00,2.868079569923424e+00,2.476884914044025e+00,2.170017975879601e+00,2.356198650722052e+00,2.488212969487176e+00,2.522440070465004e+00,1.147956070330465e+01,2.018927253687842e+00,3.354785684624307e+00
1.212121212121212e+00,2.157549716221624e+00,2.932047378719815e+00,2.532127682015150e+00,2.218416600414610e+00,2.408749716593778e+00,2.543708391834013e+00,2.578698890987096e+00,1.173559318880710e+01,2.063956091655931e+00,3.429608601860455e+00
1.262626262626263e+00,2.202366580777796e+00,2.992952141376726e+00,2.584725296592545e+00,2.264497774893707e+00,2.458784499005048e+00,2.596546550828194e+00,2.632263897495607e+00,1.197936629994793e+01,2.106828780824915e+00,3.500848766747664e+00
1.275252525252525e+00,2.213235355200764e+00,3.007722512619388e+00,2.597481084991780e+00,2.275673186859841e+00,2.470918752430166e+00,2.609360668491053e+00,2.645254276061020e+00,1.203848490398451e+01,2.117226088154793e+00,3.518125626385324e+00
1.276041666666667e+00,2.213910347230382e+00,3.008639783441369e+00,2.598273215778385e+00,2.276367191802388e+00,2.471672277767019e+00,2.610156408994659e+00,2.646060948131953e+00,1.204215630477855e+01,2.117871802329889e+00,3.519198558349817e+00
1.276436237373737e+00,2.214247647295477e+00,3.009098110516610e+00,2.598669056788911e+00,2.276714018898356e+00,2.472048857984648e+00,2.610554080587251e+00,2.646464111220695e+00,1.204399086167130e+01,2.118194418844606e+00,3.519734736056615e+00
1.276534880050505e+00,2.214331881873420e+00,3.009212701449245e+00,2.598767997489517e+00,2.276800711397614e+00,2.472142988425278e+00,2.610653449849434e+00,2.646564850791548e+00,1.204444952092892e+01,2.118275046411616e+00,3.519868767242317e+00
1.276633522727272e+00,2.214416211966933e+00,3.009327260038970e+00,2.598866951224806e+00,2.276887362459358e+00,2.472237048011229e+00,2.610752856149774e+00,2.646665639667388e+00,1.204490801374657e+01,1.482847976253682e+01,3.520002753534727e+00
1.276830808080808e+00,2.214584778859683e+00,3.009556301751627e+00,2.599064799108258e+00,2.277060715482470e+00,2.472425273465149e+00,2.610951583824580e+00,2.646867088467562e+00,1.204582496855966e+01,1.482961863128454e+01,3.520270726119551e+00
1.278409090909091e+00,2.215932196056984e+00,3.011387356829812e+00,2.600646139050135e+00,2.278446058031538e+00,2.473929530338875e+00,2.612540113751091e+00,2.648477470896766e+00,1.205315393713643e+01,1.483864130758134e+01,3.522412426069831e+00
1.281565656565657e+00,2.218620935542798e+00,3.015041282073583e+00,2.603801603305197e+00,2.281210706956412e+00,2.476931347610644e+00,2.615710116151487e+00,2.651691037227024e+00,1.206777873892645e+01,1.485664600594674e+01,3.526686405945880e+00
1.287878787878788e+00,2.223974257960475e+00,3.022316302350561e+00,2.610084367587207e+00,2.286715044414012e+00,2.482907939757516e+00,2.622021564158449e+00,2.658089364396862e+00,1.209689724155952e+01,1.489249382607143e+01,3.535196029855257e+00
1.294191919191919e+00,2.229295673100652e+00,3.029547940003311e+00,2.616329610600025e+00,2.292186573801664e+00,2.488848895543745e+00,2.628295398232554e+00,2.664449480201517e+00,1.212584203485844e+01,1.492812772488823e+01,3.543654846162550e+00
1.297348484848485e+00,2.231944405525196e+00,3.033147555031422e+00,2.619438289649707e+00,2.294910081148406e+00,2.491806062322649e+00,2.631418275750102e+00,2.667615287066159e+00,1.214024951067070e+01,1.494586489564056e+01,3.547865344909564e+00
1.298926767676768e+00,2.233265876124268e+00,3.034943384367460e+00,2.620989139975827e+00,2.296268797647788e+00,2.493281383562695e+00,2.632976226000765e+00,2.669194705963317e+00,1.214743722102360e+01,1.495471354382792e+01,3.549965871660340e+00
