,Domain_1,Domain_2,Domain_3,Domain_4,Domain_5,Domain_6,Domain_7,Domain_8,Domain_9,Domain_10
0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.010101010101010e-01,6.502638545454546e-02,6.502639450505050e-02,6.502638545454546e-02,6.502637640404042e-02,6.502638726464646e-02,6.502638545454548e-02,6.502638074828285e-02,6.502638545454545e-02,6.502639450505050e-02,6.502638545454546e-02
2.020202020202020e-01,1.252802857373737e-01,1.252802857373737e-01,1.252803038383838e-01,1.252802856649697e-01,1.252802947878788e-01,1.252802911676767e-01,1.252802875474748e-01,1.252802875474747e-01,1.252802875474748e-01,1.252802857373737e-01
3.030303030303030e-01,1.806435284040404e-01,1.806435320242424e-01,1.806435323862627e-01,1.806435300693333e-01,1.806435320242424e-01,1.806435302141414e-01,1.806435284040404e-01,1.806435276800000e-01,1.806435284040404e-01,1.806435320242425e-01
4.040404040404040e-01,2.311365766464646e-01,2.311365766464647e-01,2.311365675959596e-01,2.311365748363636e-01,2.311365766464647e-01,2.311365766464646e-01,2.311365766464647e-01,2.311365766464647e-01,2.311365766464647e-01,2.311365762844445e-01
5.050505050505051e-01,2.769101123232323e-01,2.769101032727273e-01,2.769101032727274e-01,2.769101123232324e-01,2.769101123232324e-01,2.769101123232323e-01,2.769101213737374e-01,2.769101090650505e-01,2.769101123232324e-01,2.769101123232324e-01
6.060606060606061e-01,3.182210068686869e-01,3.182209978181819e-01,3.182210014383838e-01,3.182210068686869e-01,3.182210007143436e-01,3.182210068686868e-01,3.182210050585859e-01,3.182210036105050e-01,3.182210007143435e-01,3.182210068686869e-01
7.070707070707071e-01,3.553997304242424e-01,3.553997416468686e-01,3.553997304242425e-01,3.553997304242423e-01,3.553997304242424e-01,3.553997401987879e-01,3.553997304242425e-01,3.553997304242424e-01,3.553997485252525e-01,3.553997322343433e-01
8.080808080808081e-01,3.888169373737373e-01,3.888169373737374e-01,3.888169373737375e-01,3.888169373737373e-01,3.888169373737373e-01,3.888169373737374e-01,3.888169373737374e-01,3.888169373737373e-01,3.888169373737374e-01,3.888169319434342e-01
9.090909090909091e-01,4.188545861818181e-01,4.188545898020202e-01,4.188545905260607e-01,4.188545892227878e-01,4.188545952323233e-01,4.188545934222222e-01,4.188545970424243e-01,4.188545952323233e-01,4.188545890779798e-01,4.188545905260607e-01
1.010101010101010e+00,4.458847250101010e-01,4.458847340606061e-01,4.458847376808083e-01,4.458847305852121e-01,4.458847431111111e-01,4.458847250101010e-01,4.458847304404040e-01,4.458847322505051e-01,4.458847431111111e-01,4.458847250101011e-01
1.035353535353535e+00,4.522138065454545e-01,4.522138064730505e-01,4.522138065454545e-01,4.522138065454546e-01,4.522138065454546e-01,4.522138083555556e-01,4.522138065454545e-01,4.522138018391921e-01,4.522138065454546e-01,4.522138065454546e-01
1.047979797979798e+00,4.553176863030303e-01,4.553176826828284e-01,4.553176899232322e-01,4.553176826828282e-01,4.553176899232324e-01,4.553176772525253e-01,4.553176772525252e-01,4.553176899232325e-01,4.553176971636365e-01,4.553176935434343e-01
1.054292929292929e+00,4.568547426262626e-01,4.568547426262627e-01,4.568547422642424e-01,4.568547426262626e-01,4.568547426262626e-01,4.568547426262626e-01,4.568547426262627e-01,4.568547426262627e-01,4.568547335757577e-01,4.568547429882829e-01
1.055871212121212e+00,4.572374703838383e-01,4.572374613333334e-01,4.572374685737374e-01,4.572374703838383e-01,4.572374721939394e-01,4.572374703838384e-01,4.572374703838386e-01,4.572374723387476e-01,4.572374700218182e-01,4.572374685737374e-01
1.056660353535353e+00,4.574286116202020e-01,4.574285989494950e-01,4.574285989494950e-01,4.574285989494950e-01,4.574285989494949e-01,4.574285989494949e-01,4.574285898989899e-01,4.574286061898991e-01,4.574285989494949e-01,4.574286007595961e-01
1.056857638888889e+00,4.574763617228282e-01,4.574763584646466e-01,4.574763675151515e-01,4.574763584646465e-01,4.574763602747475e-01,4.574763609987879e-01,4.574763630261011e-01,4.574763604195557e-01,4.574763675151515e-01,4.574763620848485e-01
